frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1228.973000,0,-0,29.84375,0.0130475951,0.0200514228,809781,258847,0,0,1
1,0,20.234000,0,0,29.765625,0.0149921582,0.022990173,800885,254712,2795844,0.640625,1
2,0,15.515000,0,0,29.5,0.014798576,0.0225946995,800568,254648,2796582,0.7734375,1
3,0,14.384000,0,0,29.609375,0.0146388456,0.0222954508,800644,254752,2796857,0.8515625,1
4,0,14.666000,0,0,29.6875,0.014563197,0.0221368288,800535,254747,2796951,0.90625,1
5,0,15.761000,0,0,29.703125,0.0145920806,0.0221659281,800355,254757,2797019,0.953125,1
6,0,14.589000,0,0,29.59375,0.0146620627,0.0222607457,799811,254567,2797075,0.703125,1
7,0,14.589000,0,0,29.84375,0.014557495,0.0220942637,799926,254655,2797182,1.90625,1
8,0,15.943000,0,0,29.84375,0.0145165659,0.0220438949,800189,254801,2797073,1.71875,1
9,0,15.824000,0,0,29.796875,0.0144810928,0.0219906359,800439,254950,2797103,1.5625,1
10,0,14.702000,0,0,29.609375,0.0144859878,0.0219978561,800566,255017,2797064,0.953125,1
11,0,14.737000,0,0,29.6875,0.0144001045,0.0218781652,800916,255167,2796900,1.21875,1
12,0,16.018000,0,0,29.875,0.0144383375,0.0219249733,800854,255165,2796841,1.453125,1
13,0,16.030000,0,0,29.71875,0.0145951224,0.022183046,800126,254824,2797027,1.8125,1
14,0,16.076000,0,0,29.4375,0.0145937737,0.0221677756,799949,254764,2797138,0.8125,1
15,0,14.567000,0,0,29.9375,0.0146488323,0.0222321145,799665,254663,2797170,1.859375,1
16,0,14.151000,0,0,29.734375,0.0144829979,0.0219894257,800542,255010,2796938,1.234375,1
17,0,14.212000,0,0,29.734375,0.0145259541,0.0220647861,800161,254834,2797055,1.296875,1
18,0,14.291000,0,0,29.765625,0.014438942,0.0219156433,800454,254996,2796938,1.15625,1
19,0,14.057000,0,0,29.59375,0.0145334895,0.0220745597,800002,254776,2797017,0.703125,1
20,0,14.250000,0,0,29.578125,0.014543155,0.0220763583,799871,254736,2797013,0.96875,1
21,0,14.173000,0,0,29.734375,0.0145808124,0.0221545722,799784,254705,2797037,0.5625,1
22,0,14.269000,0,0,29.578125,0.0144917325,0.0220137234,800111,254852,2796913,0.546875,1
23,0,15.732000,0,0,30.53125,0.0145058756,0.0220238708,800109,254875,2796927,0.6875,1
24,0,15.550000,0,0,29.640625,0.0144846762,0.022002605,800329,254996,2796912,1.109375,1
25,0,14.116000,0,0,29.53125,0.0144756639,0.0219819491,800546,255100,2796762,0.890625,1
26,0,14.267000,0,0,29.484375,0.0145012919,0.0220076445,800249,255024,2796912,0.859375,1
27,0,14.246000,0,0,29.515625,0.0144333811,0.0219134069,800642,255185,2796803,0.703125,1
28,0,15.852000,0,0,29.625,0.0144383454,0.0219352436,800697,255193,2796729,0.890625,1
29,0,15.854000,0,0,29.71875,0.0145184531,0.0220381139,800383,255050,2796856,1.125,1
30,0,14.700000,0,0,29.6875,0.0145101548,0.022029416,800377,255085,2796851,1.65625,1
31,0,15.854000,0,0,29.515625,0.0145668882,0.02209657,799995,254957,2796978,1.359375,1
32,0,15.712000,0,0,29.640625,0.0144943405,0.0219779622,800172,255017,2796846,0.640625,1
33,0,15.701000,0,0,29.671875,0.0145660073,0.0220938682,799843,254876,2796978,1.0625,1
34,0,15.728000,0,0,29.625,0.0145569782,0.0220862981,799870,254850,2796977,0.828125,1
35,0,14.590000,0,0,29.578125,0.0144549281,0.0219442708,800577,255126,2796768,0.609375,1
36,0,15.697000,0,0,29.578125,0.0144931653,0.0219846022,800377,255024,2796819,0.8125,1
37,0,15.783000,0,0,29.625,0.0145400534,0.0220840997,800177,254901,2796908,0.828125,1
38,0,15.710000,0,0,29.53125,0.0145570337,0.0221004478,799915,254781,2797030,1.015625,1
39,0,15.727000,0,0,29.71875,0.0144787859,0.0219750987,800245,254916,2796901,0.8125,1
