frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1212.500000,0,-0,29.84375,0.0130475951,0.0200514228,809781,258847,0,0,1
1,0,16.262000,0,0,29.765625,0.0149921582,0.022990173,800885,254712,2795844,0.640625,1
2,0,16.218000,0,0,29.5,0.014798576,0.0225946995,800568,254648,2796582,0.7734375,1
3,0,16.003000,0,0,29.609375,0.0146388456,0.0222954508,800644,254752,2796857,0.8515625,1
4,0,14.418000,0,0,29.6875,0.014563197,0.0221368288,800535,254747,2796951,0.90625,1
5,0,16.053000,0,0,29.703125,0.0145920806,0.0221659281,800355,254757,2797019,0.953125,1
6,0,15.954000,0,0,29.59375,0.0146620627,0.0222607457,799811,254567,2797075,0.703125,1
7,0,14.645000,0,0,29.84375,0.014557495,0.0220942637,799926,254655,2797182,1.90625,1
8,1,14.251000,0,-0,29.609375,0.0130389013,0.0200438111,809770,258827,1171065,0.4296875,1
9,0,16.082000,0,0,29.484375,0.0148989922,0.0228467164,801578,255057,2795751,1.125,1
10,0,14.475000,0,0,29.609375,0.0148881477,0.0227333693,800617,254716,2796777,0.890625,1
11,0,14.591000,0,0,29.640625,0.0147107062,0.0224297571,800600,254769,2796996,0.953125,1
12,0,14.666000,0,0,29.65625,0.0145625762,0.0221541213,800880,254985,2797038,1.15625,1
13,0,16.181000,0,0,29.609375,0.0146120266,0.0222014313,800463,254861,2797071,0.875,1
14,0,15.504000,0,0,29.6875,0.0145766859,0.0221361919,800492,254929,2797039,1.078125,1
15,0,15.115000,0,0,29.5625,0.0145451474,0.0220828209,800485,254960,2797039,0.6875,1
16,1,13.940000,0,-0,29.609375,0.0130389013,0.0200438111,809770,258827,1171065,0.4296875,1
17,0,15.754000,0,0,29.484375,0.0148989922,0.0228467164,801578,255057,2795751,1.125,1
18,0,15.587000,0,0,29.609375,0.0148881477,0.0227333693,800617,254716,2796777,0.890625,1
19,0,14.006000,0,0,29.640625,0.0147107062,0.0224297571,800600,254769,2796996,0.953125,1
20,0,15.672000,0,0,29.65625,0.0145625762,0.0221541213,800880,254985,2797038,1.15625,1
21,0,14.286000,0,0,29.609375,0.0146120266,0.0222014313,800463,254861,2797071,0.875,1
22,0,14.152000,0,0,29.6875,0.0145766859,0.0221361919,800492,254929,2797039,1.078125,1
23,0,14.125000,0,0,29.5625,0.0145451474,0.0220828209,800485,254960,2797039,0.6875,1
