frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1193.697000,0,0,29.59375,0.0108629729,0.0168609205,815219,260092,0,0,1
1,0,17.057000,0,0,29.484375,0.0123499951,0.0192437066,806069,255934,2797100,1.10546875,1
2,0,16.077000,0,0,29.8125,0.0121363714,0.0188102669,806202,256045,2796997,1.296875,1
3,0,15.489000,0,0,29.953125,0.0121454986,0.0188116198,805718,255872,2797219,1.734375,1
4,0,16.677000,0,0,29.890625,0.0121454715,0.0187828953,805167,255654,2797283,1.484375,1
5,0,15.481000,0,0,29.8125,0.0120418739,0.0186082882,805602,255868,2797216,1.046875,1
6,0,15.258000,0,0,29.734375,0.0120793961,0.018646189,805395,255798,2797296,0.8125,1
7,0,15.424000,0,0,29.75,0.0119979664,0.0184972858,805672,255957,2797195,0.9375,1
8,0,15.210000,0,0,29.796875,0.0119671205,0.0184508605,805829,256050,2797252,0.984375,1
9,0,17.122000,0,0,29.78125,0.0119860687,0.0184787816,805628,255959,2797306,0.984375,1
10,0,16.956000,0,0,29.90625,0.0120083544,0.0185321018,805410,255833,2797338,1.484375,1
11,0,16.584000,0,0,29.921875,0.0120303757,0.018553917,805308,255818,2797342,1.5625,1
12,0,15.205000,0,0,29.90625,0.0119641769,0.0184648167,805745,256028,2797243,1.5,1
13,0,15.297000,0,0,29.875,0.0119610705,0.0184525821,805670,256013,2797264,1.53125,1
14,0,15.455000,0,0,29.796875,0.0119579186,0.0184522497,805584,255980,2797279,1.25,1
15,0,16.773000,0,0,29.796875,0.0119682356,0.0184562835,805488,255952,2797183,1.28125,1
16,0,14.943000,0,0,29.671875,0.0118786947,0.0183247886,805991,256190,2797081,0.65625,1
17,0,14.891000,0,0,29.953125,0.0118330518,0.0182615353,806240,256292,2797037,1.8125,1
18,0,14.772000,0,0,29.875,0.0119139749,0.0183970221,805796,256113,2797196,1.59375,1
19,0,16.428000,0,0,29.640625,0.0118592823,0.0183003086,806125,256264,2797027,0.875,1
20,0,16.265000,0,0,29.8125,0.0119640321,0.0184657372,805394,255968,2797155,1.109375,1
21,0,14.937000,0,0,29.71875,0.0119630436,0.0184616252,805269,255907,2797171,1.078125,1
22,0,16.194000,0,0,29.734375,0.011907806,0.0183596952,805554,256054,2797125,1.109375,1
23,0,15.990000,0,0,29.703125,0.0118514559,0.0182740359,806032,256281,2797065,0.953125,1
24,0,14.798000,0,0,29.609375,0.0119580587,0.0184314166,805347,255980,2797187,0.640625,1
25,0,14.893000,0,0,29.71875,0.0119213874,0.0183565357,805486,256064,2797053,1.015625,1
26,0,14.942000,0,0,29.765625,0.011953872,0.0184190413,805305,255954,2797117,1.28125,1
27,0,14.940000,0,0,29.796875,0.0119268733,0.0183897044,805428,256014,2797085,1.296875,1
28,0,15.080000,0,0,29.609375,0.0118536417,0.0182565304,805809,256204,2796951,0.828125,1
29,0,23.294000,0,0,29.75,0.0118550513,0.0182511519,806067,256323,2796897,0.859375,1
30,0,16.354000,0,0,29.84375,0.0119245647,0.0183629167,805614,256144,2797025,1.3125,1
31,0,15.783000,0,0,29.859375,0.0119292659,0.0183735574,805477,256083,2796980,1.28125,1
32,0,16.538000,0,0,29.75,0.0119293793,0.0183763599,805525,256088,2797079,1.109375,1
33,0,16.498000,0,0,29.8125,0.0119125235,0.0183554444,805644,256133,2797018,1.28125,1
34,0,15.008000,0,0,29.796875,0.0119144033,0.0183611531,805572,256099,2797070,1.203125,1
35,0,15.793000,0,0,29.9375,0.0118558297,0.0182649774,806056,256308,2796973,1.75,1
36,0,16.411000,0,0,29.609375,0.011854153,0.0182503575,806112,256329,2796956,0.953125,1
37,0,14.907000,0,0,29.84375,0.0118895821,0.0183086659,805888,256220,2796995,1.33984375,1
38,0,15.611000,0,0,29.640625,0.0119231072,0.018355651,805733,256173,2797073,0.734375,1
39,0,14.953000,0,0,29.671875,0.0119029952,0.0183239132,805775,256207,2797087,0.796875,1
