frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1241.783000,0,0,29.59375,0.0108629729,0.0168609205,815219,260092,0,0,1
1,0,17.055000,0,0,29.484375,0.0123499951,0.0192437066,806069,255934,2797100,1.10546875,1
2,0,15.559000,0,0,29.8125,0.0121363714,0.0188102669,806202,256045,2796997,1.296875,1
3,0,15.512000,0,0,29.953125,0.0121454986,0.0188116198,805718,255872,2797219,1.734375,1
4,0,15.368000,0,0,29.890625,0.0121454715,0.0187828953,805167,255654,2797283,1.484375,1
5,0,16.750000,0,0,29.8125,0.0120418739,0.0186082882,805602,255868,2797216,1.046875,1
6,0,15.329000,0,0,29.734375,0.0120793961,0.018646189,805395,255798,2797296,0.8125,1
7,0,15.383000,0,0,29.75,0.0119979664,0.0184972858,805672,255957,2797195,0.9375,1
8,1,15.325000,0,0,29.59375,0.0108629729,0.0168609205,815219,260092,0,0,1
9,0,15.239000,0,0,29.484375,0.0123499951,0.0192437066,806069,255934,2797100,1.10546875,1
10,0,15.294000,0,0,29.8125,0.0121363714,0.0188102669,806202,256045,2796997,1.296875,1
11,0,15.327000,0,0,29.953125,0.0121454986,0.0188116198,805718,255872,2797219,1.734375,1
12,0,15.432000,0,0,29.890625,0.0121454715,0.0187828953,805167,255654,2797283,1.484375,1
13,0,15.393000,0,0,29.8125,0.0120418739,0.0186082882,805602,255868,2797216,1.046875,1
14,0,15.323000,0,0,29.734375,0.0120793961,0.018646189,805395,255798,2797296,0.8125,1
15,0,15.442000,0,0,29.75,0.0119979664,0.0184972858,805672,255957,2797195,0.9375,1
16,1,16.251000,0,0,29.59375,0.0108629729,0.0168609205,815219,260092,0,0,1
17,0,16.055000,0,0,29.484375,0.0123499951,0.0192437066,806069,255934,2797100,1.10546875,1
18,0,16.452000,0,0,29.8125,0.0121363714,0.0188102669,806202,256045,2796997,1.296875,1
19,0,14.909000,0,0,29.953125,0.0121454986,0.0188116198,805718,255872,2797219,1.734375,1
20,0,14.862000,0,0,29.890625,0.0121454715,0.0187828953,805167,255654,2797283,1.484375,1
21,0,14.958000,0,0,29.8125,0.0120418739,0.0186082882,805602,255868,2797216,1.046875,1
22,0,14.973000,0,0,29.734375,0.0120793961,0.018646189,805395,255798,2797296,0.8125,1
23,0,16.324000,0,0,29.75,0.0119979664,0.0184972858,805672,255957,2797195,0.9375,1
