"height","reset","seed","pattern","variant","hash","first"
"900","0","123","0","base","29A0CEF7B0B9A293D3D868F935E2C11DDFC5DC93068B207B9AF48DFF78B41FA2","12E76F1F3A3AEEA292619ECB8970AFFDD5FF273E47547C555F22B15B03DC14B2"
"900","0","123","0","candidate","29A0CEF7B0B9A293D3D868F935E2C11DDFC5DC93068B207B9AF48DFF78B41FA2","12E76F1F3A3AEEA292619ECB8970AFFDD5FF273E47547C555F22B15B03DC14B2"
"1080","0","123","0","base","E9B9FE3FA64A1632A1679AB5D1A2F3FAE7D57B9FF4E70F3DA5C456C7F3602E28","46FEDFCCE0E6F27A76C91ECF6860127D3A0899974E5D23103DE6CA6A13E8438F"
"1080","0","123","0","candidate","E9B9FE3FA64A1632A1679AB5D1A2F3FAE7D57B9FF4E70F3DA5C456C7F3602E28","46FEDFCCE0E6F27A76C91ECF6860127D3A0899974E5D23103DE6CA6A13E8438F"
"900","8","123","1","base","A3E477E815848324615AFD61BB3A7F9462067E9614F4E20B285C2D32B1A1F443","1359AA981711A67351898521649BE7E096804FEB632A3B68384462DF248DF7CF"
"900","8","123","1","candidate","A3E477E815848324615AFD61BB3A7F9462067E9614F4E20B285C2D32B1A1F443","1359AA981711A67351898521649BE7E096804FEB632A3B68384462DF248DF7CF"
"1080","8","123","1","base","BB5038C90E2811217F7ACDC89004441C5722380D16CEA5A8C4EEBE7D9F7569D4","D223EB06E0A696F7132B4CDC5ADE15562966F660751114470B3F377A0AFB9ED1"
"1080","8","123","1","candidate","BB5038C90E2811217F7ACDC89004441C5722380D16CEA5A8C4EEBE7D9F7569D4","D223EB06E0A696F7132B4CDC5ADE15562966F660751114470B3F377A0AFB9ED1"
"900","8","9876","2","base","8B2C829DA291E05AD5C317816D11E98E7616886C99744A345D3DBF53CBC67A27","07A1E1DF3DAC055300A0E7B253C75352B9C8C1CCF6AC839CFA12BCCAF7D26E8B"
"900","8","9876","2","candidate","8B2C829DA291E05AD5C317816D11E98E7616886C99744A345D3DBF53CBC67A27","07A1E1DF3DAC055300A0E7B253C75352B9C8C1CCF6AC839CFA12BCCAF7D26E8B"
"1080","8","9876","2","base","90FC930679327A184AEB4859F55165AED33F1EC643ACE9FDC12595F52BDABFCE","C3D7C2D1450E0BA466327345A708A686874B792E3C7FD86AB8D87D38FCDE6FB9"
"1080","8","9876","2","candidate","90FC930679327A184AEB4859F55165AED33F1EC643ACE9FDC12595F52BDABFCE","C3D7C2D1450E0BA466327345A708A686874B792E3C7FD86AB8D87D38FCDE6FB9"
