"height","reset","seed","pattern","variant","hash","first"
"900","0","123","0","base","8155E933601D2B5B836A9F1BF3A6AE4B4C2797EBDA19224BF20C007CA224B86F","8BFFBC95E9E62E1CEF4BD7D3666BE4145BD71646EDE15F615FE85D6D46C41945"
"900","0","123","0","candidate","8155E933601D2B5B836A9F1BF3A6AE4B4C2797EBDA19224BF20C007CA224B86F","8BFFBC95E9E62E1CEF4BD7D3666BE4145BD71646EDE15F615FE85D6D46C41945"
"1080","0","123","0","base","E9B9FE3FA64A1632A1679AB5D1A2F3FAE7D57B9FF4E70F3DA5C456C7F3602E28","46FEDFCCE0E6F27A76C91ECF6860127D3A0899974E5D23103DE6CA6A13E8438F"
"1080","0","123","0","candidate","E9B9FE3FA64A1632A1679AB5D1A2F3FAE7D57B9FF4E70F3DA5C456C7F3602E28","46FEDFCCE0E6F27A76C91ECF6860127D3A0899974E5D23103DE6CA6A13E8438F"
"900","8","123","1","base","07F68153409EFD5FE7E8046BDF4E874F3FA4D764112A539D1421379AC0A6D7B9","2D36AEAF79658C9C8941AB62B1E0564AA8FD65EFA5095CF581087CBF63BDB0B3"
"900","8","123","1","candidate","07F68153409EFD5FE7E8046BDF4E874F3FA4D764112A539D1421379AC0A6D7B9","2D36AEAF79658C9C8941AB62B1E0564AA8FD65EFA5095CF581087CBF63BDB0B3"
"1080","8","123","1","base","BB5038C90E2811217F7ACDC89004441C5722380D16CEA5A8C4EEBE7D9F7569D4","D223EB06E0A696F7132B4CDC5ADE15562966F660751114470B3F377A0AFB9ED1"
"1080","8","123","1","candidate","BB5038C90E2811217F7ACDC89004441C5722380D16CEA5A8C4EEBE7D9F7569D4","D223EB06E0A696F7132B4CDC5ADE15562966F660751114470B3F377A0AFB9ED1"
"900","8","9876","2","base","B28D4ED69EB09EB08C6214668F97DC74EF994BA971995DD34A33F0627CBD679A","1D12F4F468EB87959492929E578ADE8D6F199ACC0D5EDD1BD64419F80EAD04BA"
"900","8","9876","2","candidate","B28D4ED69EB09EB08C6214668F97DC74EF994BA971995DD34A33F0627CBD679A","1D12F4F468EB87959492929E578ADE8D6F199ACC0D5EDD1BD64419F80EAD04BA"
"1080","8","9876","2","base","90FC930679327A184AEB4859F55165AED33F1EC643ACE9FDC12595F52BDABFCE","C3D7C2D1450E0BA466327345A708A686874B792E3C7FD86AB8D87D38FCDE6FB9"
"1080","8","9876","2","candidate","90FC930679327A184AEB4859F55165AED33F1EC643ACE9FDC12595F52BDABFCE","C3D7C2D1450E0BA466327345A708A686874B792E3C7FD86AB8D87D38FCDE6FB9"
