frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1315.602000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,22.230000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,24.859000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,26.674000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,21.154000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,20.533000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,20.638000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.722000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,23.925000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,21.013000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,21.202000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,22.268000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
