frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1477.085000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,19.722000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,19.437000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,14.885000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,16.912000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,15.732000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,15.173000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,15.198000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,15.516000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,15.393000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,15.004000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,18.163000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
