frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1304.157000,0,0,0.999511719,0.00995931205,0.0155093229,844349,275181,0,0,1
1,1,10.578000,0,0,0.999511719,0.00995805819,0.0155573732,845047,275306,3573182,15.4553223,1
2,1,16.162000,0,0,0.999511719,0.00996059066,0.0154387857,844112,275330,3590776,15.5618134,1
3,1,10.859000,0,0,0.999511719,0.0103937866,0.0159574356,839814,273430,3620446,15.5771122,1
4,1,10.583000,0,0,0.999511719,0.0100558506,0.0154178251,842124,274672,3626189,15.5768623,1
5,1,10.829000,0,0,0.999511719,0.0100017598,0.0152806297,842822,275187,3629562,15.5728188,1
6,1,16.204000,0,0,0.999511719,0.0100283749,0.0153534583,842399,275104,3630638,15.5712738,1
7,1,18.263000,0,0,0.999511719,0.010123106,0.015342996,842552,275367,3646403,15.5616302,1
8,1,14.952000,0,0,0.999511719,0.00984072654,0.0149268431,845202,277046,3652736,15.5640106,1
9,1,18.712000,0,0,0.999511719,0.00992043754,0.0148882344,843671,276843,3656274,15.5729103,1
10,1,18.487000,0,0,0.999511719,0.0097989787,0.0147006971,844438,277165,3653914,15.5723839,1
11,1,10.592000,0,0,0.999511719,0.0102224663,0.0152302408,840913,275312,3664417,15.5739861,1
