frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1318.531000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,22.992000,,,,,,,,,,0
2,1,18.994000,,,,,,,,,,0
3,1,18.118000,,,,,,,,,,0
4,1,18.629000,,,,,,,,,,0
5,1,18.369000,,,,,,,,,,0
6,1,18.203000,,,,,,,,,,0
7,1,18.523000,,,,,,,,,,0
8,1,18.615000,,,,,,,,,,0
9,1,18.542000,,,,,,,,,,0
10,1,18.432000,,,,,,,,,,0
11,1,18.264000,,,,,,,,,,0
12,1,18.284000,,,,,,,,,,0
13,1,18.707000,,,,,,,,,,0
14,1,18.896000,,,,,,,,,,0
15,1,18.910000,,,,,,,,,,0
16,1,19.067000,,,,,,,,,,0
17,1,18.453000,,,,,,,,,,0
18,1,18.394000,,,,,,,,,,0
19,1,18.382000,,,,,,,,,,0
20,1,18.609000,,,,,,,,,,0
21,1,18.610000,,,,,,,,,,0
22,1,18.339000,,,,,,,,,,0
23,1,18.315000,,,,,,,,,,0
24,1,18.321000,,,,,,,,,,0
25,1,18.315000,,,,,,,,,,0
26,1,18.493000,,,,,,,,,,0
27,1,18.908000,,,,,,,,,,0
28,1,18.279000,,,,,,,,,,0
29,1,18.432000,,,,,,,,,,0
30,1,18.593000,,,,,,,,,,0
31,1,18.700000,,,,,,,,,,0
32,1,18.619000,,,,,,,,,,0
33,1,18.569000,,,,,,,,,,0
34,1,18.530000,,,,,,,,,,0
35,1,18.512000,,,,,,,,,,0
36,1,18.718000,,,,,,,,,,0
37,1,18.721000,,,,,,,,,,0
38,1,18.681000,,,,,,,,,,0
39,1,18.630000,,,,,,,,,,0
40,1,19.083000,,,,,,,,,,0
41,1,18.569000,,,,,,,,,,0
42,1,18.576000,,,,,,,,,,0
43,1,18.489000,,,,,,,,,,0
44,1,18.633000,,,,,,,,,,0
45,1,18.591000,,,,,,,,,,0
46,1,18.542000,,,,,,,,,,0
47,1,18.686000,,,,,,,,,,0
48,1,18.517000,,,,,,,,,,0
49,1,18.500000,,,,,,,,,,0
50,1,18.664000,,,,,,,,,,0
51,1,18.438000,,,,,,,,,,0
52,1,18.639000,,,,,,,,,,0
53,1,18.722000,,,,,,,,,,0
54,1,18.577000,,,,,,,,,,0
55,1,18.467000,,,,,,,,,,0
56,1,18.747000,,,,,,,,,,0
57,1,18.824000,,,,,,,,,,0
58,1,18.450000,,,,,,,,,,0
59,1,18.618000,,,,,,,,,,0
60,1,18.621000,,,,,,,,,,0
61,1,18.905000,,,,,,,,,,0
62,1,18.557000,,,,,,,,,,0
63,1,18.666000,,,,,,,,,,0
64,1,18.648000,,,,,,,,,,0
65,1,18.500000,,,,,,,,,,0
66,1,18.652000,,,,,,,,,,0
67,1,18.671000,,,,,,,,,,0
68,1,18.613000,,,,,,,,,,0
69,1,18.797000,,,,,,,,,,0
70,1,18.604000,,,,,,,,,,0
71,1,18.877000,,,,,,,,,,0
72,1,18.508000,,,,,,,,,,0
73,1,18.523000,,,,,,,,,,0
74,1,18.661000,,,,,,,,,,0
75,1,18.444000,,,,,,,,,,0
76,1,18.522000,,,,,,,,,,0
77,1,18.693000,,,,,,,,,,0
78,1,18.437000,,,,,,,,,,0
79,1,18.400000,,,,,,,,,,0
80,1,18.600000,,,,,,,,,,0
81,1,18.703000,,,,,,,,,,0
82,1,18.688000,,,,,,,,,,0
83,1,18.757000,,,,,,,,,,0
84,1,18.558000,,,,,,,,,,0
85,1,18.659000,,,,,,,,,,0
86,1,18.520000,,,,,,,,,,0
87,1,18.624000,,,,,,,,,,0
88,1,18.577000,,,,,,,,,,0
89,1,18.599000,,,,,,,,,,0
90,1,18.668000,,,,,,,,,,0
91,1,18.778000,,,,,,,,,,0
92,1,18.468000,,,,,,,,,,0
93,1,18.492000,,,,,,,,,,0
94,1,18.556000,,,,,,,,,,0
