frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1338.659000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,20.027000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,20.576000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,20.811000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,20.889000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,20.842000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,21.322000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.628000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.782000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,20.851000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,23.371000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,20.748000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
