frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1314.804000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,15.261000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,14.883000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,22.476000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,15.055000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,15.301000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,15.520000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,15.160000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,22.289000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,16.717000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,16.720000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,15.151000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
