frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1369.396000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,0,16.783000,0,0,0.999511719,0.0106167366,0.0165364872,836826,270898,3670579,15.5611267,1
2,0,21.935000,0,0,0.999511719,0.0109409801,0.0170962817,834169,269479,3710699,15.5719223,1
3,0,16.216000,0,0,0.999511719,0.0112379052,0.0175146482,831601,268109,3724317,15.575758,1
4,0,15.684000,0,0,0.999511719,0.0114166942,0.0177923924,830524,267422,3727503,15.576107,1
5,0,15.411000,0,0,0.999511719,0.0114932989,0.017930275,830044,267310,3729345,15.5765772,1
6,0,16.069000,0,0,0.999511719,0.0116087653,0.0181676497,829322,266746,3730074,15.5770006,1
7,0,15.652000,0,0,0.999511719,0.0116681895,0.0183535355,828811,266233,3730396,15.5751438,1
8,0,18.795000,0,0,0.999511719,0.0114344856,0.0179896223,829613,266603,3730650,15.5744648,1
9,0,15.116000,0,0,0.999511719,0.0116664488,0.0184516186,827662,265465,3730900,15.5756454,1
10,0,19.600000,0,0,0.999511719,0.0116660938,0.0185468498,827711,265563,3730955,15.5772138,1
11,0,15.141000,0,0,0.999511719,0.0115996669,0.0185342477,828616,265912,3731127,15.5767756,1
