frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1348.250000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,20.780000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,21.945000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,22.111000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,21.330000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,25.546000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,21.925000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,22.418000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,21.257000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,21.303000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,22.802000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,20.809000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
