frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1352.795000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,15.064000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
2,1,19.985000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
3,1,15.043000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
4,1,15.214000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
5,1,20.001000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
6,1,14.924000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
7,1,17.163000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
8,1,15.082000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
9,1,14.807000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
10,1,15.488000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
11,1,15.090000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
