frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1353.112000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,20.867000,,,,,,,,,,0
2,1,19.248000,,,,,,,,,,0
3,1,18.556000,,,,,,,,,,0
4,1,18.887000,,,,,,,,,,0
5,1,18.718000,,,,,,,,,,0
6,1,18.699000,,,,,,,,,,0
7,1,18.495000,,,,,,,,,,0
8,1,18.638000,,,,,,,,,,0
9,1,18.356000,,,,,,,,,,0
10,1,18.347000,,,,,,,,,,0
11,1,18.506000,,,,,,,,,,0
12,1,18.699000,,,,,,,,,,0
13,1,18.605000,,,,,,,,,,0
14,1,18.758000,,,,,,,,,,0
15,1,19.218000,,,,,,,,,,0
16,1,18.751000,,,,,,,,,,0
17,1,18.379000,,,,,,,,,,0
18,1,18.785000,,,,,,,,,,0
19,1,18.365000,,,,,,,,,,0
20,1,18.335000,,,,,,,,,,0
21,1,18.709000,,,,,,,,,,0
22,1,18.565000,,,,,,,,,,0
23,1,18.609000,,,,,,,,,,0
24,1,18.439000,,,,,,,,,,0
25,1,18.419000,,,,,,,,,,0
26,1,18.483000,,,,,,,,,,0
27,1,18.373000,,,,,,,,,,0
28,1,18.758000,,,,,,,,,,0
29,1,18.812000,,,,,,,,,,0
30,1,18.966000,,,,,,,,,,0
31,1,18.659000,,,,,,,,,,0
32,1,18.529000,,,,,,,,,,0
33,1,18.796000,,,,,,,,,,0
34,1,18.681000,,,,,,,,,,0
35,1,18.564000,,,,,,,,,,0
36,1,18.744000,,,,,,,,,,0
37,1,19.028000,,,,,,,,,,0
38,1,18.524000,,,,,,,,,,0
39,1,18.572000,,,,,,,,,,0
40,1,18.667000,,,,,,,,,,0
41,1,18.674000,,,,,,,,,,0
42,1,18.602000,,,,,,,,,,0
43,1,18.687000,,,,,,,,,,0
44,1,18.431000,,,,,,,,,,0
45,1,18.565000,,,,,,,,,,0
46,1,18.592000,,,,,,,,,,0
47,1,18.556000,,,,,,,,,,0
48,1,18.620000,,,,,,,,,,0
49,1,18.496000,,,,,,,,,,0
50,1,18.658000,,,,,,,,,,0
51,1,18.799000,,,,,,,,,,0
52,1,18.544000,,,,,,,,,,0
53,1,18.625000,,,,,,,,,,0
54,1,18.885000,,,,,,,,,,0
55,1,18.614000,,,,,,,,,,0
56,1,18.678000,,,,,,,,,,0
57,1,18.760000,,,,,,,,,,0
58,1,18.628000,,,,,,,,,,0
59,1,18.562000,,,,,,,,,,0
60,1,18.603000,,,,,,,,,,0
61,1,18.514000,,,,,,,,,,0
62,1,18.544000,,,,,,,,,,0
63,1,18.581000,,,,,,,,,,0
64,1,18.589000,,,,,,,,,,0
65,1,18.548000,,,,,,,,,,0
66,1,18.543000,,,,,,,,,,0
67,1,18.595000,,,,,,,,,,0
68,1,18.878000,,,,,,,,,,0
69,1,18.665000,,,,,,,,,,0
70,1,18.558000,,,,,,,,,,0
71,1,18.765000,,,,,,,,,,0
72,1,18.734000,,,,,,,,,,0
73,1,18.625000,,,,,,,,,,0
74,1,18.719000,,,,,,,,,,0
75,1,18.707000,,,,,,,,,,0
76,1,18.475000,,,,,,,,,,0
77,1,18.597000,,,,,,,,,,0
78,1,18.726000,,,,,,,,,,0
79,1,18.552000,,,,,,,,,,0
80,1,18.667000,,,,,,,,,,0
81,1,18.692000,,,,,,,,,,0
82,1,18.609000,,,,,,,,,,0
83,1,18.663000,,,,,,,,,,0
84,1,18.583000,,,,,,,,,,0
85,1,18.806000,,,,,,,,,,0
86,1,18.633000,,,,,,,,,,0
87,1,18.775000,,,,,,,,,,0
88,1,18.736000,,,,,,,,,,0
89,1,18.857000,,,,,,,,,,0
