frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1313.932000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,21.312000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,24.604000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,21.374000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,26.862000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,20.847000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,21.005000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,20.790000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,20.878000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,27.828000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,21.167000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,20.911000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
