frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1324.363000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,23.877000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
2,1,28.645000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
3,1,22.239000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
4,1,20.872000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
5,1,20.979000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
6,1,21.029000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
7,1,21.020000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
8,1,24.644000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
9,1,23.062000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
10,1,23.383000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
11,1,26.099000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
