frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1317.854000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,15.308000,0,0,0.999511719,0.0101971238,0.0157754359,840609,273125,3599854,15.4553223,1
2,1,15.375000,0,0,0.999511719,0.0102419053,0.015811889,840094,272977,3613445,15.5618134,1
3,1,16.892000,0,0,0.999511719,0.0100935026,0.0154328637,841427,274525,3630883,15.5771122,1
4,1,15.315000,0,0,0.999511719,0.0102375373,0.01559316,839992,273790,3640169,15.5768623,1
5,1,15.138000,0,0,0.999511719,0.010101687,0.0152686708,841709,274988,3651841,15.5728188,1
6,1,15.273000,0,0,0.999511719,0.0102369745,0.0155132938,840262,274581,3651620,15.5712738,1
7,1,15.313000,0,0,0.999511719,0.0101050253,0.0153370526,841859,275200,3664025,15.5616302,1
8,1,21.216000,0,0,0.999511719,0.0100331206,0.0152791637,842380,275668,3667419,15.5640106,1
9,1,15.206000,0,0,0.999511719,0.0101243677,0.0153073793,841976,275684,3673760,15.5729103,1
10,1,15.825000,0,0,0.999511719,0.00999617031,0.0150265488,843559,276738,3675866,15.5723839,1
11,1,15.164000,0,0,0.999511719,0.00998811516,0.0150010644,843162,276707,3682087,15.5739861,1
