frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1297.343000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,24.485000,,,,,,,,,,0
2,1,18.955000,,,,,,,,,,0
3,1,18.184000,,,,,,,,,,0
4,1,18.312000,,,,,,,,,,0
5,1,18.183000,,,,,,,,,,0
6,1,18.393000,,,,,,,,,,0
7,1,18.182000,,,,,,,,,,0
8,1,18.790000,,,,,,,,,,0
9,1,18.263000,,,,,,,,,,0
10,1,18.298000,,,,,,,,,,0
11,1,18.400000,,,,,,,,,,0
12,1,18.588000,,,,,,,,,,0
13,1,18.767000,,,,,,,,,,0
14,1,18.851000,,,,,,,,,,0
15,1,18.875000,,,,,,,,,,0
16,1,18.416000,,,,,,,,,,0
17,1,18.291000,,,,,,,,,,0
18,1,18.478000,,,,,,,,,,0
19,1,18.592000,,,,,,,,,,0
20,1,18.331000,,,,,,,,,,0
21,1,18.294000,,,,,,,,,,0
22,1,18.289000,,,,,,,,,,0
23,1,18.390000,,,,,,,,,,0
24,1,18.420000,,,,,,,,,,0
25,1,18.396000,,,,,,,,,,0
26,1,18.439000,,,,,,,,,,0
27,1,18.504000,,,,,,,,,,0
28,1,18.252000,,,,,,,,,,0
29,1,18.308000,,,,,,,,,,0
30,1,18.337000,,,,,,,,,,0
31,1,18.466000,,,,,,,,,,0
32,1,18.521000,,,,,,,,,,0
33,1,18.414000,,,,,,,,,,0
34,1,18.392000,,,,,,,,,,0
35,1,18.730000,,,,,,,,,,0
36,1,18.614000,,,,,,,,,,0
37,1,18.614000,,,,,,,,,,0
38,1,18.738000,,,,,,,,,,0
39,1,18.880000,,,,,,,,,,0
40,1,18.477000,,,,,,,,,,0
41,1,18.416000,,,,,,,,,,0
42,1,18.642000,,,,,,,,,,0
43,1,18.673000,,,,,,,,,,0
44,1,18.513000,,,,,,,,,,0
45,1,18.646000,,,,,,,,,,0
46,1,18.730000,,,,,,,,,,0
47,1,18.756000,,,,,,,,,,0
48,1,18.438000,,,,,,,,,,0
49,1,18.401000,,,,,,,,,,0
50,1,18.627000,,,,,,,,,,0
51,1,18.586000,,,,,,,,,,0
52,1,18.517000,,,,,,,,,,0
53,1,18.684000,,,,,,,,,,0
54,1,18.629000,,,,,,,,,,0
55,1,18.393000,,,,,,,,,,0
56,1,18.669000,,,,,,,,,,0
57,1,18.574000,,,,,,,,,,0
58,1,18.454000,,,,,,,,,,0
59,1,18.514000,,,,,,,,,,0
60,1,18.587000,,,,,,,,,,0
61,1,18.607000,,,,,,,,,,0
62,1,18.616000,,,,,,,,,,0
63,1,18.769000,,,,,,,,,,0
64,1,18.626000,,,,,,,,,,0
65,1,18.499000,,,,,,,,,,0
66,1,18.479000,,,,,,,,,,0
67,1,18.548000,,,,,,,,,,0
68,1,18.714000,,,,,,,,,,0
69,1,18.585000,,,,,,,,,,0
70,1,18.729000,,,,,,,,,,0
71,1,18.728000,,,,,,,,,,0
72,1,18.506000,,,,,,,,,,0
73,1,18.550000,,,,,,,,,,0
74,1,18.609000,,,,,,,,,,0
75,1,18.442000,,,,,,,,,,0
76,1,18.615000,,,,,,,,,,0
77,1,18.944000,,,,,,,,,,0
78,1,18.552000,,,,,,,,,,0
79,1,18.621000,,,,,,,,,,0
80,1,18.604000,,,,,,,,,,0
81,1,18.449000,,,,,,,,,,0
82,1,18.605000,,,,,,,,,,0
83,1,18.563000,,,,,,,,,,0
84,1,18.562000,,,,,,,,,,0
85,1,18.631000,,,,,,,,,,0
86,1,18.585000,,,,,,,,,,0
87,1,18.672000,,,,,,,,,,0
88,1,18.563000,,,,,,,,,,0
89,1,18.632000,,,,,,,,,,0
90,1,18.529000,,,,,,,,,,0
91,1,19.799000,,,,,,,,,,0
92,1,18.303000,,,,,,,,,,0
93,1,18.527000,,,,,,,,,,0
94,1,18.710000,,,,,,,,,,0
95,1,18.663000,,,,,,,,,,0
96,1,18.586000,,,,,,,,,,0
97,1,18.678000,,,,,,,,,,0
98,1,18.817000,,,,,,,,,,0
99,1,18.564000,,,,,,,,,,0
100,1,18.500000,,,,,,,,,,0
101,1,18.593000,,,,,,,,,,0
102,1,18.658000,,,,,,,,,,0
103,1,18.736000,,,,,,,,,,0
104,1,18.452000,,,,,,,,,,0
105,1,18.542000,,,,,,,,,,0
106,1,18.454000,,,,,,,,,,0
107,1,18.468000,,,,,,,,,,0
108,1,18.510000,,,,,,,,,,0
109,1,18.494000,,,,,,,,,,0
110,1,18.596000,,,,,,,,,,0
111,1,18.696000,,,,,,,,,,0
112,1,18.486000,,,,,,,,,,0
113,1,18.709000,,,,,,,,,,0
114,1,18.515000,,,,,,,,,,0
115,1,18.590000,,,,,,,,,,0
116,1,18.748000,,,,,,,,,,0
117,1,18.746000,,,,,,,,,,0
118,1,18.560000,,,,,,,,,,0
119,1,18.627000,,,,,,,,,,0
120,1,18.642000,,,,,,,,,,0
121,1,18.534000,,,,,,,,,,0
122,1,18.595000,,,,,,,,,,0
123,1,18.848000,,,,,,,,,,0
124,1,18.731000,,,,,,,,,,0
125,1,18.529000,,,,,,,,,,0
126,1,18.491000,,,,,,,,,,0
127,1,18.626000,,,,,,,,,,0
128,1,18.666000,,,,,,,,,,0
129,1,18.684000,,,,,,,,,,0
130,1,18.581000,,,,,,,,,,0
131,1,18.682000,,,,,,,,,,0
132,1,18.715000,,,,,,,,,,0
133,1,18.511000,,,,,,,,,,0
134,1,18.653000,,,,,,,,,,0
135,1,18.634000,,,,,,,,,,0
136,1,18.610000,,,,,,,,,,0
137,1,19.058000,,,,,,,,,,0
138,1,18.407000,,,,,,,,,,0
139,1,18.524000,,,,,,,,,,0
140,1,18.720000,,,,,,,,,,0
141,1,18.749000,,,,,,,,,,0
142,1,18.572000,,,,,,,,,,0
143,1,18.654000,,,,,,,,,,0
144,1,18.677000,,,,,,,,,,0
145,1,18.584000,,,,,,,,,,0
146,1,18.550000,,,,,,,,,,0
147,1,18.462000,,,,,,,,,,0
148,1,18.729000,,,,,,,,,,0
149,1,18.495000,,,,,,,,,,0
150,1,18.427000,,,,,,,,,,0
151,1,18.661000,,,,,,,,,,0
152,1,18.560000,,,,,,,,,,0
153,1,18.732000,,,,,,,,,,0
154,1,18.538000,,,,,,,,,,0
155,1,18.620000,,,,,,,,,,0
156,1,18.651000,,,,,,,,,,0
157,1,18.545000,,,,,,,,,,0
158,1,18.728000,,,,,,,,,,0
159,1,18.543000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
