test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.472981250,0,1600,300004421,300006421
1,1,1,160,12.450212500,0,1600,300006796,300008796
1,2,1,160,12.463906250,0,1600,300009171,300011171
1,3,0,160,12.474181250,0,1600,300011546,300013546
1,4,0,160,12.489037500,0,1600,300013921,300015921
1,5,1,160,12.459643750,0,1600,300016296,300018296
1,6,1,160,12.463631250,0,1600,300018671,300020671
1,7,0,160,12.499950000,0,1600,300021046,300023046
2,0,0,160,12.496393750,0,1600,300023421,300025421
2,1,2,160,12.440725000,0,1600,300025796,300027796
2,2,2,160,12.438731250,0,1600,300028171,300030156
2,3,0,160,12.495662500,0,1600,300030546,300032546
2,4,0,160,12.485737500,0,1600,300032921,300034921
2,5,2,160,12.445837500,0,1600,300035296,300037281
2,6,2,160,12.434831250,0,1600,300037671,300039656
2,7,0,160,12.513431250,0,1600,300040031,300042046
3,0,0,160,12.504493750,0,1600,300042421,300044421
3,1,3,160,12.423131250,0,1600,300044796,300046781
3,2,3,160,12.465425000,0,1600,300047171,300049156
3,3,0,160,12.490337500,0,1600,300049531,300051531
3,4,0,160,12.500425000,0,1600,300051921,300053921
3,5,3,160,12.412006250,0,1600,300054296,300056281
3,6,3,160,12.413812500,0,1600,300056656,300058640
3,7,0,160,12.476637500,0,1600,300059015,300061015
