repeat,candidate,slot,mode,frames,ms,diag_calls,pdl_calls
0,1,0,0,160,16.663925000,960,11880
0,1,1,1,160,16.704856250,960,23760
0,1,2,1,160,16.705175000,960,35640
0,1,3,0,160,16.698950000,960,47520
0,2,0,0,160,16.718106250,960,59400
0,2,1,2,160,16.694518750,960,71280
0,2,2,2,160,16.708218750,960,83160
0,2,3,0,160,16.723493750,960,95040
1,1,0,0,160,16.728518750,960,106920
1,1,1,1,160,16.757562500,960,118800
1,1,2,1,160,16.746443750,960,130680
1,1,3,0,160,16.747587500,960,142560
1,2,0,0,160,16.737987500,960,154440
1,2,1,2,160,16.720187500,960,166320
1,2,2,2,160,16.724862500,960,178200
1,2,3,0,160,16.757312500,960,190080
2,1,0,0,160,16.744806250,960,201960
2,1,1,1,160,16.730581250,960,213840
2,1,2,1,160,16.758406250,960,225720
2,1,3,0,160,16.736112500,960,237600
2,2,0,0,160,16.742612500,960,249480
2,2,1,2,160,16.710693750,960,261360
2,2,2,2,160,16.695362500,960,273240
2,2,3,0,160,16.735231250,960,285120
