repeat,candidate,slot,mode,frames,ms,diag_calls,pdl_calls
0,1,0,0,800,16.688038750,4800,54120
0,1,1,1,800,16.709433750,4800,108240
0,1,2,1,800,16.709278750,4800,162360
0,1,3,0,800,16.715107500,4800,216480
0,2,0,0,800,16.722228750,4800,270600
0,2,1,2,800,16.706532500,4800,324720
0,2,2,2,800,16.712673750,4800,378840
0,2,3,0,800,16.739066250,4800,432960
1,1,0,0,800,16.745156250,4800,487080
1,1,1,1,800,16.746907500,4800,541200
1,1,2,1,800,16.747413750,4800,595320
1,1,3,0,800,16.745892500,4800,649440
1,2,0,0,800,16.742322500,4800,703560
1,2,1,2,800,16.750291250,4800,757680
1,2,2,2,800,16.739900000,4800,811800
1,2,3,0,800,16.764992500,4800,865920
