phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
input,0,0,1,1,694,253.471181556,0,25235456
input,0,1,0,1,812,264.550492611,0,25235456
input,0,2,0,1,802,263.276807980,0,25235456
input,0,3,1,1,801,263.937578027,0,25235456
input,1,0,0,1,778,264.496143959,0,25235456
input,1,1,0,2,723,285.670816044,0,25235456
input,1,2,0,2,792,288.982323232,0,25235456
input,1,3,0,1,692,264.812138728,0,25235456
input,2,0,0,1,813,265.293972940,0,25235456
input,2,1,0,4,578,333.735294118,0,25235456
input,2,2,0,4,653,329.660030628,0,25235456
input,2,3,0,1,839,264.171632896,0,25235456
