phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
input,0,0,1,1,187,1126.240641711,0,18432000
input,0,1,0,1,179,1185.636871508,0,18432000
input,0,2,0,1,169,1178.278106509,0,18432000
input,0,3,1,1,174,1150.586206897,0,18432000
input,1,0,0,1,177,1183.073446328,0,18432000
input,1,1,0,2,158,1345.493670886,0,18432000
input,1,2,0,2,155,1337.922580645,0,18432000
input,1,3,0,1,180,1182.511111111,0,18432000
input,2,0,0,1,174,1177.775862069,0,18432000
input,2,1,0,4,123,1666.878048780,0,18432000
input,2,2,0,4,124,1667.467741935,0,18432000
input,2,3,0,1,178,1186.117977528,0,18432000
tail,0,0,1,1,179,1152.335195531,0,18432000
tail,0,1,0,1,180,1181.055555556,0,18432000
tail,0,2,0,1,175,1177.377142857,0,18432000
tail,0,3,1,1,185,1158.064864865,0,18432000
tail,1,0,0,1,172,1176.494186047,0,18432000
tail,1,1,0,2,163,1289.404907975,0,18432000
tail,1,2,0,2,165,1288.484848485,0,18432000
tail,1,3,0,1,176,1175.494318182,0,18432000
tail,2,0,0,1,179,1185.458100559,0,18432000
tail,2,1,0,4,140,1477.428571429,0,18432000
tail,2,2,0,4,141,1464.304964539,0,18432000
tail,2,3,0,1,177,1184.378531073,0,18432000
