phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
input,0,0,1,1,195,1149.876923077,0,98304000
input,0,1,0,1,183,1200.016393443,0,98304000
input,0,2,0,1,191,1202.743455497,0,98304000
input,0,3,1,1,191,1175.858638743,0,98304000
input,1,0,0,1,181,1208.585635359,0,98304000
input,1,1,0,2,164,1397.560975610,0,98304000
input,1,2,0,2,164,1380.390243902,0,98304000
input,1,3,0,1,190,1212.405263158,0,98304000
input,2,0,0,1,189,1204.984126984,0,98304000
input,2,1,0,4,121,1765.487603306,0,98304000
input,2,2,0,4,122,1778.532786885,0,98304000
input,2,3,0,1,190,1206.484210526,0,98304000
tail,0,0,1,1,195,1185.133333333,0,98304000
tail,0,1,0,1,198,1161.994949495,0,98304000
tail,0,2,0,1,198,1159.772727273,0,98304000
tail,0,3,1,1,195,1175.784615385,0,98304000
tail,1,0,0,1,197,1169.050761421,0,98304000
tail,1,1,0,2,180,1255.650000000,0,98304000
tail,1,2,0,2,182,1271.664835165,0,98304000
tail,1,3,0,1,195,1157.492307692,0,98304000
tail,2,0,0,1,198,1157.621212121,0,98304000
tail,2,1,0,4,150,1497.900000000,0,98304000
tail,2,2,0,4,147,1486.829931973,0,98304000
tail,2,3,0,1,198,1159.651515152,0,98304000
