test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,17.750300000,0,1600,286970328,286973171
1,1,1,160,17.620100000,0,1600,286973703,286976515
1,2,1,160,17.637375000,0,1600,286977062,286979875
1,3,0,160,17.827487500,0,1600,286980421,286983265
1,4,0,160,17.843975000,0,1600,286983812,286986671
1,5,1,160,17.705125000,0,1600,286987203,286990046
1,6,1,160,17.720912500,0,1600,286990578,286993421
1,7,0,160,17.913706250,0,1600,286993953,286996828
2,0,0,160,17.901350000,0,1600,286997375,287000234
2,1,2,160,17.571587500,0,1600,287000765,287003578
2,2,2,160,17.591818750,0,1600,287004109,287006937
2,3,0,160,17.929543750,0,1600,287007468,287010343
2,4,0,160,17.950425000,0,1600,287010890,287013765
2,5,2,160,17.635843750,0,1600,287014296,287017125
2,6,2,160,17.640331250,0,1600,287017656,287020484
2,7,0,160,17.982706250,0,1600,287021031,287023906
3,0,0,160,17.980825000,0,1600,287024453,287027328
3,1,3,160,17.640312500,0,1600,287027875,287030687
3,2,3,160,17.658856250,0,1600,287031234,287034046
3,3,0,160,18.005668750,0,1600,287034593,287037484
3,4,0,160,18.024387500,0,1600,287038031,287040921
3,5,3,160,17.673312500,0,1600,287041453,287044281
3,6,3,160,17.673206250,0,1600,287044812,287047640
3,7,0,160,18.019012500,0,1600,287048187,287051078
