test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,16.873875000,0,1600,327036453,327039156
1,1,1,160,16.814431250,0,1600,327039656,327042359
1,2,1,160,16.834756250,0,1600,327042859,327045562
1,3,0,160,16.950525000,0,1600,327046078,327048781
1,4,0,160,16.972431250,0,1600,327049296,327052015
1,5,1,160,16.897737500,0,1600,327052531,327055234
1,6,1,160,16.881256250,0,1600,327055750,327058453
1,7,0,160,16.996375000,0,1600,327058968,327061687
2,0,0,160,16.994743750,0,1600,327062203,327064921
2,1,2,160,16.923125000,0,1600,327065437,327068140
2,2,2,160,16.918556250,0,1600,327068656,327071359
2,3,0,160,17.030856250,0,1600,327071890,327074609
2,4,0,160,17.042768750,0,1600,327075125,327077859
2,5,2,160,16.964262500,0,1600,327078375,327081078
2,6,2,160,16.958412500,0,1600,327081593,327084312
2,7,0,160,17.061437500,0,1600,327084828,327087562
3,0,0,160,17.078387500,0,1600,327088078,327090812
3,1,3,160,16.970056250,0,1600,327091328,327094046
3,2,3,160,16.963875000,0,1600,327094562,327097281
3,3,0,160,17.064156250,0,1600,327097796,327100531
3,4,0,160,17.070018750,0,1600,327101046,327103781
3,5,3,160,16.973862500,0,1600,327104296,327107015
3,6,3,160,17.009212500,0,1600,327107531,327110250
3,7,0,160,17.078593750,0,1600,327110765,327113500
