test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.797906250,0,1600,271013687,271015734
1,1,1,160,12.852106250,0,1600,271016125,271018187
1,2,1,160,12.859962500,0,1600,271018578,271020640
1,3,0,160,12.838337500,0,1600,271021031,271023078
1,4,0,160,12.935881250,0,1600,271023468,271025546
1,5,1,160,12.903025000,0,1600,271025937,271028000
1,6,1,160,12.873843750,0,1600,271028390,271030453
1,7,0,160,12.839012500,0,1600,271030843,271032890
2,0,0,160,12.856356250,0,1600,271033281,271035343
2,1,2,160,12.873331250,0,1600,271035734,271037796
2,2,2,160,12.883325000,0,1600,271038187,271040250
2,3,0,160,12.841343750,0,1600,271040640,271042687
2,4,0,160,12.834512500,0,1600,271043078,271045125
2,5,2,160,12.847618750,0,1600,271045515,271047578
2,6,2,160,12.828937500,0,1600,271047968,271050015
2,7,0,160,12.840443750,0,1600,271050406,271052468
3,0,0,160,12.843675000,0,1600,271052859,271054906
3,1,3,160,12.875443750,0,1600,271055296,271057359
3,2,3,160,12.884443750,0,1600,271057750,271059812
3,3,0,160,12.849850000,0,1600,271060203,271062265
3,4,0,160,12.826237500,0,1600,271062656,271064703
3,5,3,160,12.876437500,0,1600,271065093,271067156
3,6,3,160,12.879756250,0,1600,271067546,271069609
3,7,0,160,12.867525000,0,1600,271070000,271072062
