phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
packv,0,0,1,1,546,369.912087912,0,36179968
packv,0,1,0,1,514,387.879377432,0,36179968
packv,0,2,0,1,558,389.100358423,0,36179968
packv,0,3,1,1,573,378.441535777,0,36179968
packv,1,0,0,1,564,388.927304965,0,36179968
packv,1,1,0,2,471,468.760084926,0,36179968
packv,1,2,0,2,475,469.486315789,0,36179968
packv,1,3,0,1,518,388.677606178,0,36179968
packv,2,0,0,1,550,391.103636364,0,36179968
packv,2,1,0,4,355,634.118309859,0,36179968
packv,2,2,0,4,358,627.203910615,0,36179968
packv,2,3,0,1,540,391.851851852,0,36179968
