phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
packv,0,0,1,1,133,1638.842105263,0,26542080
packv,0,1,0,1,115,1801.660869565,0,26542080
packv,0,2,0,1,119,1799.453781513,0,26542080
packv,0,3,1,1,126,1666.119047619,0,26542080
packv,1,0,0,1,115,1788.591304348,0,26542080
packv,1,1,0,2,101,2076.584158416,0,26542080
packv,1,2,0,2,100,2078.620000000,0,26542080
packv,1,3,0,1,117,1783.965811966,0,26542080
packv,2,0,0,1,116,1771.318965517,0,26542080
packv,2,1,0,4,77,2698.428571429,0,26542080
packv,2,2,0,4,79,2678.139240506,0,26542080
packv,2,3,0,1,119,1800.949579832,0,26542080
