phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,133,1644.939849624,0,26542080
ffn,0,1,0,1,117,1788.136752137,0,26542080
ffn,0,2,0,1,114,1791.833333333,0,26542080
ffn,0,3,1,1,124,1677.475806452,0,26542080
ffn,1,0,0,1,115,1802.043478261,0,26542080
ffn,1,1,0,2,102,2019.852941176,0,26542080
ffn,1,2,0,2,104,2033.855769231,0,26542080
ffn,1,3,0,1,115,1791.530434783,0,26542080
ffn,2,0,0,1,115,1808.869565217,0,26542080
ffn,2,1,0,4,84,2492.535714286,0,26542080
ffn,2,2,0,4,84,2483.761904762,0,26542080
ffn,2,3,0,1,115,1805.878260870,0,26542080
pack,0,0,1,1,124,1662.516129032,0,26542080
pack,0,1,0,1,104,2034.201923077,0,26542080
pack,0,2,0,1,101,2044.633663366,0,26542080
pack,0,3,1,1,124,1676.758064516,0,26542080
pack,1,0,0,1,103,2023.058252427,0,26542080
pack,1,1,0,2,83,2471.204819277,0,26542080
pack,1,2,0,2,85,2496.258823529,0,26542080
pack,1,3,0,1,103,2024.000000000,0,26542080
pack,2,0,0,1,104,2035.596153846,0,26542080
pack,2,1,0,4,58,3386.827586207,0,26542080
pack,2,2,0,4,62,3379.322580645,0,26542080
pack,2,3,0,1,104,2038.461538462,0,26542080
qkv,0,0,1,1,125,1665.176000000,0,26542080
qkv,0,1,0,1,118,1761.516949153,0,26542080
qkv,0,2,0,1,121,1754.917355372,0,26542080
qkv,0,3,1,1,125,1662.864000000,0,26542080
qkv,1,0,0,1,117,1745.871794872,0,26542080
qkv,1,1,0,2,114,1851.596491228,0,26542080
qkv,1,2,0,2,113,1849.699115044,0,26542080
qkv,1,3,0,1,118,1763.372881356,0,26542080
qkv,2,0,0,1,122,1674.696721311,0,26542080
qkv,2,1,0,4,102,1942.186274510,0,26542080
qkv,2,2,0,4,101,1944.891089109,0,26542080
qkv,2,3,0,1,119,1675.781512605,0,26542080
scores,0,0,1,1,123,1599.869918699,0,26542080
scores,0,1,0,1,118,1669.042372881,0,26542080
scores,0,2,0,1,120,1668.525000000,0,26542080
scores,0,3,1,1,125,1600.576000000,0,26542080
scores,1,0,0,1,119,1669.714285714,0,26542080
scores,1,1,0,2,109,1819.889908257,0,26542080
scores,1,2,0,2,109,1817.486238532,0,26542080
scores,1,3,0,1,118,1668.016949153,0,26542080
scores,2,0,0,1,118,1669.457627119,0,26542080
scores,2,1,0,4,93,2107.172043011,0,26542080
scores,2,2,0,4,95,2108.589473684,0,26542080
scores,2,3,0,1,119,1669.647058824,0,26542080
norm,0,0,1,1,123,1599.569105691,0,26542080
norm,0,1,0,1,121,1637.314049587,0,26542080
norm,0,2,0,1,121,1636.082644628,0,26542080
norm,0,3,1,1,124,1600.209677419,0,26542080
norm,1,0,0,1,122,1637.491803279,0,26542080
norm,1,1,0,2,104,1914.932692308,0,26542080
norm,1,2,0,2,104,1914.913461538,0,26542080
norm,1,3,0,1,121,1637.223140496,0,26542080
norm,2,0,0,1,122,1636.311475410,0,26542080
norm,2,1,0,4,78,2573.615384615,0,26542080
norm,2,2,0,4,77,2574.493506494,0,26542080
norm,2,3,0,1,121,1634.884297521,0,26542080
av,0,0,1,1,124,1599.346774194,0,26542080
av,0,1,0,1,121,1637.677685950,0,26542080
av,0,2,0,1,121,1639.553719008,0,26542080
av,0,3,1,1,125,1600.336000000,0,26542080
av,1,0,0,1,121,1639.958677686,0,26542080
av,1,1,0,2,114,1718.640350877,0,26542080
av,1,2,0,2,114,1718.000000000,0,26542080
av,1,3,0,1,120,1638.800000000,0,26542080
av,2,0,0,1,121,1639.768595041,0,26542080
av,2,1,0,4,105,1880.828571429,0,26542080
av,2,2,0,4,107,1878.214953271,0,26542080
av,2,3,0,1,120,1639.758333333,0,26542080
project,0,0,1,1,122,1603.549180328,0,26542080
project,0,1,0,1,121,1624.859504132,0,26542080
project,0,2,0,1,121,1624.636363636,0,26542080
project,0,3,1,1,123,1601.691056911,0,26542080
project,1,0,0,1,124,1622.258064516,0,26542080
project,1,1,0,2,117,1677.769230769,0,26542080
project,1,2,0,2,117,1677.273504274,0,26542080
project,1,3,0,1,120,1624.416666667,0,26542080
project,2,0,0,1,123,1622.861788618,0,26542080
project,2,1,0,4,112,1778.857142857,0,26542080
project,2,2,0,4,111,1778.063063063,0,26542080
project,2,3,0,1,122,1622.696721311,0,26542080
