phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,128,1607.984375000,0,141557760
ffn,0,1,0,1,122,1708.508196721,0,141557760
ffn,0,2,0,1,124,1709.677419355,0,141557760
ffn,0,3,1,1,127,1632.826771654,0,141557760
ffn,1,0,0,1,123,1708.951219512,0,141557760
ffn,1,1,0,2,109,1918.394495413,0,141557760
ffn,1,2,0,2,108,1918.231481481,0,141557760
ffn,1,3,0,1,122,1709.188524590,0,141557760
ffn,2,0,0,1,122,1709.336065574,0,141557760
ffn,2,1,0,4,91,2317.703296703,0,141557760
ffn,2,2,0,4,91,2317.604395604,0,141557760
ffn,2,3,0,1,121,1710.809917355,0,141557760
pack,0,0,1,1,129,1638.984496124,0,141557760
pack,0,1,0,1,92,2224.315217391,0,141557760
pack,0,2,0,1,110,1918.181818182,0,141557760
pack,0,3,1,1,129,1637.790697674,0,141557760
pack,1,0,0,1,109,1915.018348624,0,141557760
pack,1,1,0,2,92,2310.489130435,0,141557760
pack,1,2,0,2,91,2312.725274725,0,141557760
pack,1,3,0,1,108,1915.861111111,0,141557760
pack,2,0,0,1,108,1914.398148148,0,141557760
pack,2,1,0,4,70,3029.214285714,0,141557760
pack,2,2,0,4,70,3031.914285714,0,141557760
pack,2,3,0,1,110,1916.754545455,0,141557760
qkv,0,0,1,1,128,1635.492187500,0,141557760
qkv,0,1,0,1,125,1688.592000000,0,141557760
qkv,0,2,0,1,123,1690.463414634,0,141557760
qkv,0,3,1,1,128,1638.210937500,0,141557760
qkv,1,0,0,1,124,1689.620967742,0,141557760
qkv,1,1,0,2,119,1774.462184874,0,141557760
qkv,1,2,0,2,119,1775.117647059,0,141557760
qkv,1,3,0,1,123,1690.186991870,0,141557760
qkv,2,0,0,1,123,1688.756097561,0,141557760
qkv,2,1,0,4,109,1932.018348624,0,141557760
qkv,2,2,0,4,108,1932.481481481,0,141557760
qkv,2,3,0,1,124,1688.701612903,0,141557760
scores,0,0,1,1,128,1638.398437500,0,141557760
scores,0,1,0,1,119,1747.302521008,0,141557760
scores,0,2,0,1,121,1746.595041322,0,141557760
scores,0,3,1,1,128,1637.406250000,0,141557760
scores,1,0,0,1,120,1747.066666667,0,141557760
scores,1,1,0,2,109,1901.715596330,0,141557760
scores,1,2,0,2,108,1903.953703704,0,141557760
scores,1,3,0,1,119,1747.134453782,0,141557760
scores,2,0,0,1,121,1748.842975207,0,141557760
scores,2,1,0,4,95,2204.747368421,0,141557760
scores,2,2,0,4,95,2196.157894737,0,141557760
scores,2,3,0,1,119,1750.176470588,0,141557760
norm,0,0,1,1,128,1640.062500000,0,141557760
norm,0,1,0,1,124,1688.693548387,0,141557760
norm,0,2,0,1,125,1688.632000000,0,141557760
norm,0,3,1,1,129,1640.705426357,0,141557760
norm,1,0,0,1,124,1688.935483871,0,141557760
norm,1,1,0,2,105,1993.819047619,0,141557760
norm,1,2,0,2,104,1996.067307692,0,141557760
norm,1,3,0,1,123,1691.991869919,0,141557760
norm,2,0,0,1,124,1691.870967742,0,141557760
norm,2,1,0,4,78,2674.897435897,0,141557760
norm,2,2,0,4,79,2671.797468354,0,141557760
norm,2,3,0,1,123,1692.056910569,0,141557760
av,0,0,1,1,128,1642.804687500,0,141557760
av,0,1,0,1,127,1662.023622047,0,141557760
av,0,2,0,1,126,1666.222222222,0,141557760
av,0,3,1,1,127,1639.598425197,0,141557760
av,1,0,0,1,126,1665.206349206,0,141557760
av,1,1,0,2,119,1755.168067227,0,141557760
av,1,2,0,2,120,1752.875000000,0,141557760
av,1,3,0,1,125,1665.016000000,0,141557760
av,2,0,0,1,123,1664.902439024,0,141557760
av,2,1,0,4,108,1938.768518519,0,141557760
av,2,2,0,4,109,1938.073394495,0,141557760
av,2,3,0,1,126,1666.793650794,0,141557760
project,0,0,1,1,127,1640.850393701,0,141557760
project,0,1,0,1,127,1646.527559055,0,141557760
project,0,2,0,1,125,1646.800000000,0,141557760
project,0,3,1,1,102,1635.519607843,0,141557760
project,1,0,0,1,128,1647.828125000,0,141557760
project,1,1,0,2,124,1693.096774194,0,141557760
project,1,2,0,2,125,1693.704000000,0,141557760
project,1,3,0,1,126,1648.325396825,0,141557760
project,2,0,0,1,128,1648.437500000,0,141557760
project,2,1,0,4,117,1778.495726496,0,141557760
project,2,2,0,4,118,1778.779661017,0,141557760
project,2,3,0,1,127,1646.724409449,0,141557760
