phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,703,253.135135135,0,25235456
ffn,0,1,0,1,719,276.361613352,0,25235456
ffn,0,2,0,1,763,278.437745740,0,25235456
ffn,0,3,1,1,759,264.935441370,0,25235456
ffn,1,0,0,1,780,279.078205128,0,25235456
ffn,1,1,0,2,602,320.345514950,0,25235456
ffn,1,2,0,2,656,319.033536585,0,25235456
ffn,1,3,0,1,704,278.132102273,0,25235456
ffn,2,0,0,1,753,279.282868526,0,25235456
ffn,2,1,0,4,532,405.661654135,0,25235456
ffn,2,2,0,4,528,405.297348485,0,25235456
ffn,2,3,0,1,767,277.070404172,0,25235456
pack,0,0,1,1,795,266.295597484,0,25235456
pack,0,1,0,1,648,304.655864198,0,25235456
pack,0,2,0,1,711,305.265822785,0,25235456
pack,0,3,1,1,776,264.958762887,0,25235456
pack,1,0,0,1,687,305.612809316,0,25235456
pack,1,1,0,2,573,379.230366492,0,25235456
pack,1,2,0,2,577,378.424610052,0,25235456
pack,1,3,0,1,692,303.541907514,0,25235456
pack,2,0,0,1,645,307.189147287,0,25235456
pack,2,1,0,4,404,521.581683168,0,25235456
pack,2,2,0,4,405,521.617283951,0,25235456
pack,2,3,0,1,687,305.199417758,0,25235456
qkv,0,0,1,1,816,266.149509804,0,25235456
qkv,0,1,0,1,734,262.651226158,0,25235456
qkv,0,2,0,1,753,262.799468792,0,25235456
qkv,0,3,1,1,739,268.006765900,0,25235456
qkv,1,0,0,1,785,259.787261146,0,25235456
qkv,1,1,0,2,741,272.211875843,0,25235456
qkv,1,2,0,2,783,273.860791826,0,25235456
qkv,1,3,0,1,790,259.254430380,0,25235456
qkv,2,0,0,1,779,262.568677792,0,25235456
qkv,2,1,0,4,675,302.888888889,0,25235456
qkv,2,2,0,4,672,300.961309524,0,25235456
qkv,2,3,0,1,831,260.149217810,0,25235456
scores,0,0,1,1,788,266.930203046,0,25235456
scores,0,1,0,1,676,270.807692308,0,25235456
scores,0,2,0,1,784,270.678571429,0,25235456
scores,0,3,1,1,737,259.044776119,0,25235456
scores,1,0,0,1,717,261.149232915,0,25235456
scores,1,1,0,2,693,288.919191919,0,25235456
scores,1,2,0,2,619,288.657512116,0,25235456
scores,1,3,0,1,762,261.377952756,0,25235456
scores,2,0,0,1,779,261.383825417,0,25235456
scores,2,1,0,4,609,337.978653530,0,25235456
scores,2,2,0,4,609,337.507389163,0,25235456
scores,2,3,0,1,801,261.230961298,0,25235456
norm,0,0,1,1,776,255.344072165,0,25235456
norm,0,1,0,1,770,254.610389610,0,25235456
norm,0,2,0,1,800,254.871250000,0,25235456
norm,0,3,1,1,777,255.400257400,0,25235456
norm,1,0,0,1,756,254.962962963,0,25235456
norm,1,1,0,2,630,303.174603175,0,25235456
norm,1,2,0,2,656,302.897865854,0,25235456
norm,1,3,0,1,758,254.650395778,0,25235456
norm,2,0,0,1,750,254.934666667,0,25235456
norm,2,1,0,4,509,420.540275049,0,25235456
norm,2,2,0,4,490,420.567346939,0,25235456
norm,2,3,0,1,750,255.200000000,0,25235456
av,0,0,1,1,758,255.336411609,0,25235456
av,0,1,0,1,765,257.260130719,0,25235456
av,0,2,0,1,706,257.436260623,0,25235456
av,0,3,1,1,809,255.447466007,0,25235456
av,1,0,0,1,788,256.934010152,0,25235456
av,1,1,0,2,746,271.934316354,0,25235456
av,1,2,0,2,731,271.582763338,0,25235456
av,1,3,0,1,763,257.032765400,0,25235456
av,2,0,0,1,759,256.959156785,0,25235456
av,2,1,0,4,652,301.099693252,0,25235456
av,2,2,0,4,686,300.975218659,0,25235456
av,2,3,0,1,785,256.849681529,0,25235456
project,0,0,1,1,767,255.259452412,0,25235456
project,0,1,0,1,827,251.558645707,0,25235456
project,0,2,0,1,742,251.260107817,0,25235456
project,0,3,1,1,800,255.647500000,0,25235456
project,1,0,0,1,751,251.327563249,0,25235456
project,1,1,0,2,672,266.657738095,0,25235456
project,1,2,0,2,701,266.526390870,0,25235456
project,1,3,0,1,795,251.881761006,0,25235456
project,2,0,0,1,718,251.376044568,0,25235456
project,2,1,0,4,688,297.297965116,0,25235456
project,2,2,0,4,631,297.435816165,0,25235456
project,2,3,0,1,773,251.293661061,0,25235456
