phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
packv,0,0,1,1,185,1158.243243243,0,98304000
packv,0,1,0,1,185,1239.367567568,0,98304000
packv,0,2,0,1,184,1241.668478261,0,98304000
packv,0,3,1,1,187,1181.641711230,0,98304000
packv,1,0,0,1,185,1251.129729730,0,98304000
packv,1,1,0,2,152,1430.105263158,0,98304000
packv,1,2,0,2,154,1428.610389610,0,98304000
packv,1,3,0,1,180,1240.844444444,0,98304000
packv,2,0,0,1,183,1240.327868852,0,98304000
packv,2,1,0,4,118,1823.898305085,0,98304000
packv,2,2,0,4,120,1819.608333333,0,98304000
packv,2,3,0,1,181,1253.060773481,0,98304000
