phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,197,1127.862944162,0,18432000
ffn,0,1,0,1,167,1245.748502994,0,18432000
ffn,0,2,0,1,167,1237.886227545,0,18432000
ffn,0,3,1,1,186,1152.327956989,0,18432000
ffn,1,0,0,1,165,1253.430303030,0,18432000
ffn,1,1,0,2,147,1395.959183673,0,18432000
ffn,1,2,0,2,150,1403.020000000,0,18432000
ffn,1,3,0,1,165,1251.872727273,0,18432000
ffn,2,0,0,1,168,1247.029761905,0,18432000
ffn,2,1,0,4,121,1706.115702479,0,18432000
ffn,2,2,0,4,122,1705.237704918,0,18432000
ffn,2,3,0,1,167,1247.317365269,0,18432000
pack,0,0,1,1,179,1138.888268156,0,18432000
pack,0,1,0,1,149,1399.610738255,0,18432000
pack,0,2,0,1,150,1398.200000000,0,18432000
pack,0,3,1,1,177,1149.395480226,0,18432000
pack,1,0,0,1,152,1398.802631579,0,18432000
pack,1,1,0,2,120,1695.541666667,0,18432000
pack,1,2,0,2,123,1705.178861789,0,18432000
pack,1,3,0,1,149,1401.389261745,0,18432000
pack,2,0,0,1,152,1403.947368421,0,18432000
pack,2,1,0,4,89,2327.797752809,0,18432000
pack,2,2,0,4,90,2330.788888889,0,18432000
pack,2,3,0,1,147,1395.619047619,0,18432000
qkv,0,0,1,1,180,1161.738888889,0,18432000
qkv,0,1,0,1,173,1204.618497110,0,18432000
qkv,0,2,0,1,175,1210.114285714,0,18432000
qkv,0,3,1,1,178,1149.735955056,0,18432000
qkv,1,0,0,1,173,1212.352601156,0,18432000
qkv,1,1,0,2,160,1270.793750000,0,18432000
qkv,1,2,0,2,165,1276.951515152,0,18432000
qkv,1,3,0,1,168,1204.547619048,0,18432000
qkv,2,0,0,1,175,1210.971428571,0,18432000
qkv,2,1,0,4,151,1406.231788079,0,18432000
qkv,2,2,0,4,146,1395.260273973,0,18432000
qkv,2,3,0,1,171,1213.836257310,0,18432000
scores,0,0,1,1,175,1152.274285714,0,18432000
scores,0,1,0,1,174,1212.120689655,0,18432000
scores,0,2,0,1,171,1200.070175439,0,18432000
scores,0,3,1,1,177,1151.350282486,0,18432000
scores,1,0,0,1,171,1207.684210526,0,18432000
scores,1,1,0,2,154,1307.694805195,0,18432000
scores,1,2,0,2,156,1319.410256410,0,18432000
scores,1,3,0,1,171,1200.812865497,0,18432000
scores,2,0,0,1,174,1208.551724138,0,18432000
scores,2,1,0,4,138,1524.398550725,0,18432000
scores,2,2,0,4,138,1526.420289855,0,18432000
scores,2,3,0,1,171,1200.362573099,0,18432000
norm,0,0,1,1,182,1160.901098901,0,18432000
norm,0,1,0,1,155,1368.922580645,0,18432000
norm,0,2,0,1,149,1359.375838926,0,18432000
norm,0,3,1,1,180,1162.711111111,0,18432000
norm,1,0,0,1,151,1358.668874172,0,18432000
norm,1,1,0,2,121,1706.033057851,0,18432000
norm,1,2,0,2,121,1723.446280992,0,18432000
norm,1,3,0,1,154,1368.727272727,0,18432000
norm,2,0,0,1,153,1367.758169935,0,18432000
norm,2,1,0,4,87,2416.551724138,0,18432000
norm,2,2,0,4,87,2404.172413793,0,18432000
norm,2,3,0,1,153,1370.228758170,0,18432000
av,0,0,1,1,175,1156.000000000,0,18432000
av,0,1,0,1,176,1185.659090909,0,18432000
av,0,2,0,1,173,1179.375722543,0,18432000
av,0,3,1,1,174,1154.189655172,0,18432000
av,1,0,0,1,175,1186.742857143,0,18432000
av,1,1,0,2,165,1235.872727273,0,18432000
av,1,2,0,2,170,1243.600000000,0,18432000
av,1,3,0,1,173,1181.271676301,0,18432000
av,2,0,0,1,176,1189.318181818,0,18432000
av,2,1,0,4,152,1351.782894737,0,18432000
av,2,2,0,4,153,1363.281045752,0,18432000
av,2,3,0,1,174,1179.402298851,0,18432000
project,0,0,1,1,183,1160.415300546,0,18432000
project,0,1,0,1,176,1168.613636364,0,18432000
project,0,2,0,1,179,1175.592178771,0,18432000
project,0,3,1,1,176,1153.948863636,0,18432000
project,1,0,0,1,177,1179.593220339,0,18432000
project,1,1,0,2,171,1205.192982456,0,18432000
project,1,2,0,2,169,1220.692307692,0,18432000
project,1,3,0,1,176,1177.318181818,0,18432000
project,2,0,0,1,177,1169.785310734,0,18432000
project,2,1,0,4,164,1286.780487805,0,18432000
project,2,2,0,4,164,1286.378048780,0,18432000
project,2,3,0,1,175,1132.760000000,0,18432000
