phase,comparison,slot,original,repeats,launches,mean_us,byte_diff,checked_bytes
ffn,0,0,1,1,199,1128.110552764,0,18432000
ffn,0,1,0,1,168,1245.261904762,0,18432000
ffn,0,2,0,1,163,1239.564417178,0,18432000
ffn,0,3,1,1,182,1156.098901099,0,18432000
ffn,1,0,0,1,164,1240.176829268,0,18432000
ffn,1,1,0,2,151,1402.880794702,0,18432000
ffn,1,2,0,2,150,1405.426666667,0,18432000
ffn,1,3,0,1,166,1239.162650602,0,18432000
ffn,2,0,0,1,170,1248.876470588,0,18432000
ffn,2,1,0,4,122,1707.040983607,0,18432000
ffn,2,2,0,4,120,1709.641666667,0,18432000
ffn,2,3,0,1,167,1248.676646707,0,18432000
pack,0,0,1,1,177,1158.485875706,0,18432000
pack,0,1,0,1,152,1398.460526316,0,18432000
pack,0,2,0,1,149,1399.845637584,0,18432000
pack,0,3,1,1,180,1149.033333333,0,18432000
pack,1,0,0,1,150,1401.240000000,0,18432000
pack,1,1,0,2,121,1691.586776860,0,18432000
pack,1,2,0,2,123,1706.520325203,0,18432000
pack,1,3,0,1,150,1401.780000000,0,18432000
pack,2,0,0,1,152,1398.539473684,0,18432000
pack,2,1,0,4,90,2325.366666667,0,18432000
pack,2,2,0,4,89,2321.921348315,0,18432000
pack,2,3,0,1,148,1411.513513514,0,18432000
qkv,0,0,1,1,180,1160.944444444,0,18432000
qkv,0,1,0,1,168,1207.410714286,0,18432000
qkv,0,2,0,1,174,1213.925287356,0,18432000
qkv,0,3,1,1,179,1153.759776536,0,18432000
qkv,1,0,0,1,172,1216.005813953,0,18432000
qkv,1,1,0,2,162,1274.080246914,0,18432000
qkv,1,2,0,2,162,1286.629629630,0,18432000
qkv,1,3,0,1,170,1218.864705882,0,18432000
qkv,2,0,0,1,170,1218.029411765,0,18432000
qkv,2,1,0,4,150,1406.560000000,0,18432000
qkv,2,2,0,4,152,1406.526315789,0,18432000
qkv,2,3,0,1,169,1208.171597633,0,18432000
scores,0,0,1,1,183,1161.939890710,0,18432000
scores,0,1,0,1,172,1214.302325581,0,18432000
scores,0,2,0,1,171,1211.461988304,0,18432000
scores,0,3,1,1,175,1162.268571429,0,18432000
scores,1,0,0,1,174,1212.689655172,0,18432000
scores,1,1,0,2,155,1309.748387097,0,18432000
scores,1,2,0,2,160,1315.118750000,0,18432000
scores,1,3,0,1,171,1202.093567251,0,18432000
scores,2,0,0,1,173,1209.456647399,0,18432000
scores,2,1,0,4,138,1525.833333333,0,18432000
scores,2,2,0,4,138,1526.833333333,0,18432000
scores,2,3,0,1,171,1201.871345029,0,18432000
norm,0,0,1,1,181,1160.662983425,0,18432000
norm,0,1,0,1,173,1176.751445087,0,18432000
norm,0,2,0,1,178,1183.202247191,0,18432000
norm,0,3,1,1,179,1152.335195531,0,18432000
norm,1,0,0,1,178,1186.780898876,0,18432000
norm,1,1,0,2,148,1378.966216216,0,18432000
norm,1,2,0,2,148,1388.371621622,0,18432000
norm,1,3,0,1,175,1187.731428571,0,18432000
norm,2,0,0,1,177,1183.711864407,0,18432000
norm,2,1,0,4,111,1857.567567568,0,18432000
norm,2,2,0,4,112,1876.169642857,0,18432000
norm,2,3,0,1,176,1185.619318182,0,18432000
av,0,0,1,1,178,1166.213483146,0,18432000
av,0,1,0,1,175,1190.600000000,0,18432000
av,0,2,0,1,173,1183.450867052,0,18432000
av,0,3,1,1,181,1162.154696133,0,18432000
av,1,0,0,1,173,1181.121387283,0,18432000
av,1,1,0,2,169,1244.905325444,0,18432000
av,1,2,0,2,163,1238.785276074,0,18432000
av,1,3,0,1,176,1189.460227273,0,18432000
av,2,0,0,1,176,1180.017045455,0,18432000
av,2,1,0,4,154,1320.194805195,0,18432000
av,2,2,0,4,148,1302.391891892,0,18432000
av,2,3,0,1,175,1134.754285714,0,18432000
project,0,0,1,1,174,1110.195402299,0,18432000
project,0,1,0,1,173,1125.375722543,0,18432000
project,0,2,0,1,174,1125.166666667,0,18432000
project,0,3,1,1,175,1110.554285714,0,18432000
project,1,0,0,1,173,1126.063583815,0,18432000
project,1,1,0,2,168,1162.160714286,0,18432000
project,1,2,0,2,169,1161.396449704,0,18432000
project,1,3,0,1,172,1124.860465116,0,18432000
project,2,0,0,1,173,1124.624277457,0,18432000
project,2,1,0,4,158,1231.734177215,0,18432000
project,2,2,0,4,158,1230.544303797,0,18432000
project,2,3,0,1,174,1125.505747126,0,18432000
