phase,slot,mode,frames,ms
0,0,0,80,16.613937500
0,1,1,80,16.730425000
0,2,1,80,16.744175000
0,3,0,80,16.647200000
1,0,0,80,16.635275000
1,1,2,80,16.752100000
1,2,2,80,16.766987500
1,3,0,80,16.631750000
2,0,0,80,16.644162500
2,1,3,80,16.751900000
2,2,3,80,16.758450000
2,3,0,80,16.694875000
7,0,0,80,16.700837500
7,1,8,80,16.812912500
7,2,8,80,16.811975000
7,3,0,80,16.696800000
8,0,0,80,16.665425000
8,1,9,80,16.802925000
8,2,9,80,16.785150000
8,3,0,80,16.695537500
9,0,0,80,16.737100000
9,1,10,80,16.824250000
9,2,10,80,16.821000000
9,3,0,80,16.699325000
10,0,0,80,16.712775000
10,1,11,80,16.814400000
10,2,11,80,16.787312500
10,3,0,80,16.726075000
