phase,slot,mode,frames,ms
0,0,0,80,16.620950000
0,1,1,80,16.746162500
0,2,1,80,16.742400000
0,3,0,80,16.642287500
1,0,0,80,16.652412500
1,1,2,80,16.734712500
1,2,2,80,16.781750000
1,3,0,80,16.669500000
2,0,0,80,16.648662500
2,1,3,80,16.761037500
2,2,3,80,16.769650000
2,3,0,80,16.660762500
3,0,0,80,16.658175000
3,1,4,80,16.745762500
3,2,4,80,16.761812500
3,3,0,80,16.670787500
4,0,0,80,16.680287500
4,1,5,80,16.762150000
4,2,5,80,16.771025000
4,3,0,80,16.684375000
5,0,0,80,16.686275000
5,1,6,80,16.791312500
5,2,6,80,16.800287500
5,3,0,80,16.727550000
6,0,0,80,16.691912500
6,1,7,80,16.837562500
6,2,7,80,16.803262500
6,3,0,80,16.676675000
