repeat,candidate,slot,mode,frames,ms,post_calls,pdl_calls
0,1,0,0,160,16.636262500,160,11880
0,1,1,1,160,16.683787500,160,23760
0,1,2,1,160,16.712562500,160,35640
0,1,3,0,160,16.703606250,160,47520
0,4,0,0,160,16.707437500,160,59400
0,4,1,4,160,16.733056250,160,71280
0,4,2,4,160,16.717500000,160,83160
0,4,3,0,160,16.742075000,160,95040
1,1,0,0,160,16.736181250,160,106920
1,1,1,1,160,16.742437500,160,118800
1,1,2,1,160,16.738081250,160,130680
1,1,3,0,160,16.736187500,160,142560
1,4,0,0,160,16.733837500,160,154440
1,4,1,4,160,16.744462500,160,166320
1,4,2,4,160,16.724175000,160,178200
1,4,3,0,160,16.713281250,160,190080
2,1,0,0,160,16.728543750,160,201960
2,1,1,1,160,16.736350000,160,213840
2,1,2,1,160,16.725943750,160,225720
2,1,3,0,160,16.745193750,160,237600
2,4,0,0,160,16.729212500,160,249480
2,4,1,4,160,16.718006250,160,261360
2,4,2,4,160,16.728462500,160,273240
2,4,3,0,160,16.706493750,160,285120
