repeat,candidate,slot,mode,frames,ms,post_calls,pdl_calls
0,1,0,0,160,11.581593750,160,11880
0,1,1,1,160,11.577093750,160,23760
0,1,2,1,160,11.598250000,160,35640
0,1,3,0,160,11.596087500,160,47520
0,2,0,0,160,11.611950000,160,59400
0,2,1,2,160,11.662350000,160,71280
0,2,2,2,160,11.657362500,160,83160
0,2,3,0,160,11.616681250,160,95040
1,1,0,0,160,11.639612500,160,106920
1,1,1,1,160,11.622818750,160,118800
1,1,2,1,160,11.659093750,160,130680
1,1,3,0,160,11.666050000,160,142560
1,2,0,0,160,11.669531250,160,154440
1,2,1,2,160,11.694481250,160,166320
1,2,2,2,160,11.691893750,160,178200
1,2,3,0,160,11.668025000,160,190080
2,1,0,0,160,11.679068750,160,201960
2,1,1,1,160,11.694175000,160,213840
2,1,2,1,160,11.699356250,160,225720
2,1,3,0,160,11.690531250,160,237600
2,2,0,0,160,11.698918750,160,249480
2,2,1,2,160,11.709262500,160,261360
2,2,2,2,160,11.709787500,160,273240
2,2,3,0,160,11.700762500,160,285120
