repeat,candidate,slot,mode,frames,ms,post_calls,pdl_calls
0,1,0,0,160,11.581462500,160,11880
0,1,1,1,160,11.667068750,160,23760
0,1,2,1,160,11.644006250,160,35640
0,1,3,0,160,11.693256250,160,47520
0,3,0,0,160,11.664000000,160,59400
0,3,1,3,160,11.661456250,160,71280
0,3,2,3,160,11.686000000,160,83160
0,3,3,0,160,11.687887500,160,95040
1,1,0,0,160,11.700181250,160,106920
1,1,1,1,160,11.697287500,160,118800
1,1,2,1,160,11.725856250,160,130680
1,1,3,0,160,11.715750000,160,142560
1,3,0,0,160,11.700837500,160,154440
1,3,1,3,160,11.728900000,160,166320
1,3,2,3,160,11.725950000,160,178200
1,3,3,0,160,11.731112500,160,190080
2,1,0,0,160,11.751350000,160,201960
2,1,1,1,160,11.722393750,160,213840
2,1,2,1,160,11.746781250,160,225720
2,1,3,0,160,11.744812500,160,237600
2,3,0,0,160,11.747293750,160,249480
2,3,1,3,160,11.753468750,160,261360
2,3,2,3,160,11.781325000,160,273240
2,3,3,0,160,11.755493750,160,285120
