frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1284.159000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,17.151000,,,,,,,,,,0
2,1,14.614000,,,,,,,,,,0
3,1,13.385000,,,,,,,,,,0
4,1,13.214000,,,,,,,,,,0
5,1,13.384000,,,,,,,,,,0
6,1,13.657000,,,,,,,,,,0
7,1,13.325000,,,,,,,,,,0
8,1,13.531000,,,,,,,,,,0
9,1,13.416000,,,,,,,,,,0
10,1,13.197000,,,,,,,,,,0
11,1,13.175000,,,,,,,,,,0
12,1,13.240000,,,,,,,,,,0
13,1,13.158000,,,,,,,,,,0
14,1,13.436000,,,,,,,,,,0
15,1,13.455000,,,,,,,,,,0
16,1,13.048000,,,,,,,,,,0
17,1,12.808000,,,,,,,,,,0
18,1,12.735000,,,,,,,,,,0
19,1,12.885000,,,,,,,,,,0
20,1,12.791000,,,,,,,,,,0
21,1,13.243000,,,,,,,,,,0
22,1,12.883000,,,,,,,,,,0
23,1,13.025000,,,,,,,,,,0
24,1,13.063000,,,,,,,,,,0
25,1,13.031000,,,,,,,,,,0
26,1,13.085000,,,,,,,,,,0
27,1,13.057000,,,,,,,,,,0
28,1,13.013000,,,,,,,,,,0
29,1,13.115000,,,,,,,,,,0
30,1,13.152000,,,,,,,,,,0
31,1,13.078000,,,,,,,,,,0
32,1,13.044000,,,,,,,,,,0
33,1,13.098000,,,,,,,,,,0
34,1,13.092000,,,,,,,,,,0
35,1,13.219000,,,,,,,,,,0
36,1,13.189000,,,,,,,,,,0
37,1,13.115000,,,,,,,,,,0
38,1,13.125000,,,,,,,,,,0
39,1,13.074000,,,,,,,,,,0
40,1,13.222000,,,,,,,,,,0
41,1,13.097000,,,,,,,,,,0
42,1,13.203000,,,,,,,,,,0
43,1,13.174000,,,,,,,,,,0
44,1,13.096000,,,,,,,,,,0
45,1,13.096000,,,,,,,,,,0
46,1,13.185000,,,,,,,,,,0
47,1,13.225000,,,,,,,,,,0
48,1,13.400000,,,,,,,,,,0
49,1,13.430000,,,,,,,,,,0
50,1,13.286000,,,,,,,,,,0
51,1,13.224000,,,,,,,,,,0
52,1,13.313000,,,,,,,,,,0
53,1,13.377000,,,,,,,,,,0
54,1,13.479000,,,,,,,,,,0
55,1,13.216000,,,,,,,,,,0
56,1,13.410000,,,,,,,,,,0
57,1,13.329000,,,,,,,,,,0
58,1,13.329000,,,,,,,,,,0
59,1,13.233000,,,,,,,,,,0
60,1,13.403000,,,,,,,,,,0
61,1,13.336000,,,,,,,,,,0
62,1,13.328000,,,,,,,,,,0
63,1,13.368000,,,,,,,,,,0
64,1,13.407000,,,,,,,,,,0
65,1,13.276000,,,,,,,,,,0
66,1,13.233000,,,,,,,,,,0
67,1,13.349000,,,,,,,,,,0
68,1,13.304000,,,,,,,,,,0
69,1,13.379000,,,,,,,,,,0
70,1,13.325000,,,,,,,,,,0
71,1,13.474000,,,,,,,,,,0
72,1,13.273000,,,,,,,,,,0
73,1,13.174000,,,,,,,,,,0
74,1,13.388000,,,,,,,,,,0
75,1,13.161000,,,,,,,,,,0
76,1,13.187000,,,,,,,,,,0
77,1,13.482000,,,,,,,,,,0
78,1,13.365000,,,,,,,,,,0
79,1,13.285000,,,,,,,,,,0
80,1,13.327000,,,,,,,,,,0
81,1,13.324000,,,,,,,,,,0
82,1,13.184000,,,,,,,,,,0
83,1,13.380000,,,,,,,,,,0
84,1,13.365000,,,,,,,,,,0
85,1,13.306000,,,,,,,,,,0
86,1,13.276000,,,,,,,,,,0
87,1,13.407000,,,,,,,,,,0
88,1,13.311000,,,,,,,,,,0
89,1,13.155000,,,,,,,,,,0
90,1,13.410000,,,,,,,,,,0
91,1,13.418000,,,,,,,,,,0
92,1,13.308000,,,,,,,,,,0
93,1,13.286000,,,,,,,,,,0
94,1,13.433000,,,,,,,,,,0
95,1,13.396000,,,,,,,,,,0
96,1,13.268000,,,,,,,,,,0
97,1,13.376000,,,,,,,,,,0
98,1,13.463000,,,,,,,,,,0
99,1,13.446000,,,,,,,,,,0
100,1,13.371000,,,,,,,,,,0
101,1,13.360000,,,,,,,,,,0
102,1,13.432000,,,,,,,,,,0
103,1,13.336000,,,,,,,,,,0
104,1,13.214000,,,,,,,,,,0
105,1,13.227000,,,,,,,,,,0
106,1,13.137000,,,,,,,,,,0
107,1,13.217000,,,,,,,,,,0
108,1,13.382000,,,,,,,,,,0
109,1,13.474000,,,,,,,,,,0
110,1,13.280000,,,,,,,,,,0
111,1,13.473000,,,,,,,,,,0
112,1,13.459000,,,,,,,,,,0
113,1,13.254000,,,,,,,,,,0
114,1,13.335000,,,,,,,,,,0
115,1,13.384000,,,,,,,,,,0
116,1,13.287000,,,,,,,,,,0
117,1,13.227000,,,,,,,,,,0
118,1,13.390000,,,,,,,,,,0
119,1,13.400000,,,,,,,,,,0
120,1,13.129000,,,,,,,,,,0
121,1,13.331000,,,,,,,,,,0
122,1,13.363000,,,,,,,,,,0
123,1,13.244000,,,,,,,,,,0
124,1,13.262000,,,,,,,,,,0
125,1,13.437000,,,,,,,,,,0
126,1,13.202000,,,,,,,,,,0
127,1,13.345000,,,,,,,,,,0
128,1,13.443000,,,,,,,,,,0
129,1,13.398000,,,,,,,,,,0
130,1,13.206000,,,,,,,,,,0
131,1,13.533000,,,,,,,,,,0
132,1,13.311000,,,,,,,,,,0
133,1,13.594000,,,,,,,,,,0
134,1,13.395000,,,,,,,,,,0
135,1,13.394000,,,,,,,,,,0
136,1,13.269000,,,,,,,,,,0
137,1,13.276000,,,,,,,,,,0
138,1,13.359000,,,,,,,,,,0
139,1,13.513000,,,,,,,,,,0
140,1,13.282000,,,,,,,,,,0
141,1,13.259000,,,,,,,,,,0
142,1,13.294000,,,,,,,,,,0
143,1,13.389000,,,,,,,,,,0
144,1,13.364000,,,,,,,,,,0
145,1,13.261000,,,,,,,,,,0
146,1,13.428000,,,,,,,,,,0
147,1,13.394000,,,,,,,,,,0
148,1,13.270000,,,,,,,,,,0
149,1,13.376000,,,,,,,,,,0
150,1,13.429000,,,,,,,,,,0
151,1,13.170000,,,,,,,,,,0
152,1,13.430000,,,,,,,,,,0
153,1,13.352000,,,,,,,,,,0
154,1,13.216000,,,,,,,,,,0
155,1,13.376000,,,,,,,,,,0
156,1,13.383000,,,,,,,,,,0
157,1,13.378000,,,,,,,,,,0
158,1,13.455000,,,,,,,,,,0
159,1,13.401000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
