test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.442468750,0,1600,298280015,298282000
1,1,1,160,12.467781250,0,1600,298282390,298284375
1,2,1,160,12.464575000,0,1600,298284765,298286750
1,3,0,160,12.431662500,0,1600,298287125,298289125
1,4,0,160,12.434068750,0,1600,298289500,298291484
1,5,1,160,12.483662500,0,1600,298291875,298293859
1,6,1,160,12.482562500,0,1600,298294250,298296250
1,7,0,160,12.427050000,0,1600,298296625,298298609
2,0,0,160,12.439418750,0,1600,298298984,298300984
2,1,2,160,12.400825000,0,1600,298301359,298303343
2,2,2,160,12.404137500,0,1600,298303718,298305703
2,3,0,160,12.452500000,0,1600,298306078,298308078
2,4,0,160,12.486325000,0,1600,298308453,298310453
2,5,2,160,12.452593750,0,1600,298310828,298312812
2,6,2,160,12.435368750,0,1600,298313203,298315187
2,7,0,160,12.468918750,0,1600,298315562,298317562
3,0,0,160,12.451681250,0,1600,298317937,298319937
3,1,3,160,12.435468750,0,1600,298320312,298322296
3,2,3,160,12.427325000,0,1600,298322671,298324671
3,3,0,160,12.457400000,0,1600,298325046,298327046
3,4,0,160,12.465618750,0,1600,298327421,298329406
3,5,3,160,12.448768750,0,1600,298329796,298331781
3,6,3,160,12.447187500,0,1600,298332156,298334156
3,7,0,160,12.461531250,0,1600,298334531,298336531
