frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1252.202000,0,0,0.999511719,0.0104786282,0.0162493991,837356,271186,0,0,1
1,1,20.283000,,,,,,,,,,0
2,1,19.565000,,,,,,,,,,0
3,1,18.381000,,,,,,,,,,0
4,1,18.637000,,,,,,,,,,0
5,1,18.427000,,,,,,,,,,0
6,1,18.415000,,,,,,,,,,0
7,1,18.354000,,,,,,,,,,0
8,1,18.458000,,,,,,,,,,0
9,1,18.483000,,,,,,,,,,0
10,1,18.322000,,,,,,,,,,0
11,1,18.409000,,,,,,,,,,0
12,1,18.629000,,,,,,,,,,0
13,1,18.750000,,,,,,,,,,0
14,1,19.053000,,,,,,,,,,0
15,1,18.922000,,,,,,,,,,0
16,1,18.571000,,,,,,,,,,0
17,1,18.422000,,,,,,,,,,0
18,1,18.505000,,,,,,,,,,0
19,1,18.587000,,,,,,,,,,0
20,1,18.467000,,,,,,,,,,0
21,1,18.475000,,,,,,,,,,0
22,1,18.519000,,,,,,,,,,0
23,1,18.568000,,,,,,,,,,0
24,1,18.581000,,,,,,,,,,0
25,1,18.537000,,,,,,,,,,0
26,1,18.489000,,,,,,,,,,0
27,1,18.468000,,,,,,,,,,0
28,1,18.364000,,,,,,,,,,0
29,1,18.470000,,,,,,,,,,0
30,1,18.386000,,,,,,,,,,0
31,1,18.469000,,,,,,,,,,0
32,1,18.594000,,,,,,,,,,0
33,1,18.764000,,,,,,,,,,0
34,1,18.436000,,,,,,,,,,0
35,1,18.559000,,,,,,,,,,0
36,1,18.614000,,,,,,,,,,0
37,1,18.517000,,,,,,,,,,0
38,1,18.517000,,,,,,,,,,0
39,1,18.481000,,,,,,,,,,0
40,1,18.807000,,,,,,,,,,0
41,1,18.556000,,,,,,,,,,0
42,1,18.534000,,,,,,,,,,0
43,1,18.723000,,,,,,,,,,0
44,1,18.632000,,,,,,,,,,0
45,1,18.861000,,,,,,,,,,0
46,1,18.734000,,,,,,,,,,0
47,1,18.597000,,,,,,,,,,0
48,1,18.965000,,,,,,,,,,0
49,1,18.658000,,,,,,,,,,0
50,1,18.722000,,,,,,,,,,0
51,1,18.666000,,,,,,,,,,0
52,1,18.702000,,,,,,,,,,0
53,1,18.784000,,,,,,,,,,0
54,1,18.688000,,,,,,,,,,0
55,1,18.635000,,,,,,,,,,0
56,1,18.661000,,,,,,,,,,0
57,1,18.668000,,,,,,,,,,0
58,1,18.710000,,,,,,,,,,0
59,1,18.829000,,,,,,,,,,0
60,1,18.904000,,,,,,,,,,0
61,1,18.500000,,,,,,,,,,0
62,1,18.597000,,,,,,,,,,0
63,1,18.579000,,,,,,,,,,0
64,1,18.606000,,,,,,,,,,0
65,1,18.629000,,,,,,,,,,0
66,1,18.682000,,,,,,,,,,0
67,1,18.613000,,,,,,,,,,0
68,1,18.716000,,,,,,,,,,0
69,1,18.938000,,,,,,,,,,0
70,1,18.525000,,,,,,,,,,0
71,1,18.673000,,,,,,,,,,0
72,1,18.641000,,,,,,,,,,0
73,1,18.615000,,,,,,,,,,0
74,1,18.589000,,,,,,,,,,0
75,1,18.632000,,,,,,,,,,0
76,1,18.746000,,,,,,,,,,0
77,1,18.626000,,,,,,,,,,0
78,1,18.622000,,,,,,,,,,0
79,1,18.709000,,,,,,,,,,0
80,1,18.837000,,,,,,,,,,0
81,1,18.550000,,,,,,,,,,0
82,1,18.654000,,,,,,,,,,0
83,1,18.783000,,,,,,,,,,0
84,1,18.557000,,,,,,,,,,0
85,1,18.685000,,,,,,,,,,0
86,1,18.533000,,,,,,,,,,0
87,1,18.641000,,,,,,,,,,0
88,1,18.608000,,,,,,,,,,0
89,1,18.643000,,,,,,,,,,0
90,1,18.841000,,,,,,,,,,0
91,1,18.652000,,,,,,,,,,0
92,1,18.554000,,,,,,,,,,0
93,1,18.598000,,,,,,,,,,0
94,1,18.806000,,,,,,,,,,0
95,1,18.712000,,,,,,,,,,0
96,1,18.734000,,,,,,,,,,0
97,1,18.732000,,,,,,,,,,0
98,1,18.688000,,,,,,,,,,0
99,1,18.818000,,,,,,,,,,0
100,1,18.714000,,,,,,,,,,0
101,1,18.785000,,,,,,,,,,0
102,1,19.056000,,,,,,,,,,0
103,1,18.694000,,,,,,,,,,0
104,1,18.691000,,,,,,,,,,0
105,1,18.650000,,,,,,,,,,0
106,1,18.750000,,,,,,,,,,0
