test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.572812500,0,1600,295949109,295951125
1,1,1,160,12.475300000,0,1600,295951515,295953500
1,2,1,160,12.548762500,0,1600,295953890,295955890
1,3,0,160,12.603050000,0,1600,295956281,295958296
1,4,0,160,12.569881250,0,1600,295958671,295960687
1,5,1,160,12.522137500,0,1600,295961062,295963078
1,6,1,160,12.540412500,0,1600,295963453,295965453
1,7,0,160,12.593962500,0,1600,295965843,295967859
2,0,0,160,12.594093750,0,1600,295968234,295970250
2,1,2,160,12.555006250,0,1600,295970640,295972656
2,2,2,160,12.568612500,0,1600,295973031,295975046
2,3,0,160,12.595050000,0,1600,295975421,295977437
2,4,0,160,12.599406250,0,1600,295977828,295979843
2,5,2,160,12.533781250,0,1600,295980218,295982218
2,6,2,160,12.571768750,0,1600,295982609,295984625
2,7,0,160,12.595275000,0,1600,295985000,295987015
3,0,0,160,12.604837500,0,1600,295987390,295989421
3,1,3,160,12.537600000,0,1600,295989796,295991796
3,2,3,160,12.536437500,0,1600,295992187,295994187
3,3,0,160,12.601075000,0,1600,295994578,295996593
3,4,0,160,12.584256250,0,1600,295996968,295998984
3,5,3,160,12.520575000,0,1600,295999359,296001375
3,6,3,160,12.547056250,0,1600,296001750,296003765
3,7,0,160,12.585568750,0,1600,296004140,296006156
