test,slot,mode,frames,wall_ms,bitdiff,calls,start_ms,end_ms
1,0,0,160,12.428956250,0,1600,300571515,300573500
1,1,1,160,12.283662500,0,1600,300573875,300575843
1,2,1,160,12.329400000,0,1600,300576218,300578187
1,3,0,160,12.423875000,0,1600,300578578,300580562
1,4,0,160,12.417787500,0,1600,300580937,300582921
1,5,1,160,12.361637500,0,1600,300583296,300585281
1,6,1,160,12.347137500,0,1600,300585656,300587625
1,7,0,160,12.452243750,0,1600,300588000,300590000
2,0,0,160,12.424256250,0,1600,300590375,300592359
2,1,2,160,12.344437500,0,1600,300592734,300594718
2,2,2,160,12.348031250,0,1600,300595093,300597062
2,3,0,160,12.454831250,0,1600,300597453,300599437
2,4,0,160,12.425656250,0,1600,300599812,300601812
2,5,2,160,12.306650000,0,1600,300602187,300604156
2,6,2,160,12.354206250,0,1600,300604531,300606500
2,7,0,160,12.463825000,0,1600,300606875,300608875
3,0,0,160,12.451687500,0,1600,300609250,300611250
3,1,3,160,12.334925000,0,1600,300611625,300613593
3,2,3,160,12.362250000,0,1600,300613968,300615953
3,3,0,160,12.460206250,0,1600,300616328,300618328
3,4,0,160,12.424250000,0,1600,300618703,300620687
3,5,3,160,12.327331250,0,1600,300621062,300623031
3,6,3,160,12.346650000,0,1600,300623406,300625390
3,7,0,160,12.429650000,0,1600,300625765,300627750
