kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,14.982277000,0.000,0
cand,0,1,1,1,200,14.869767000,10.000,0
cand,0,1,2,1,200,14.875358500,10.000,0
cand,0,1,3,0,200,15.012176000,0.000,0
cand,0,2,0,0,200,15.009257000,0.000,0
cand,0,2,1,1,200,14.868141000,10.000,0
cand,0,2,2,1,200,14.854389000,10.000,0
cand,0,2,3,0,200,15.004842500,0.000,0
cand,0,3,0,0,200,15.025610000,0.000,0
cand,0,3,1,1,200,15.007522000,10.000,0
cand,0,3,2,1,200,15.017981000,10.000,0
cand,0,3,3,0,200,15.062893000,0.000,0
cand,1,1,0,0,200,15.037080000,0.000,0
cand,1,1,1,1,200,14.933604500,10.000,0
cand,1,1,2,1,200,14.920831000,10.000,0
cand,1,1,3,0,200,15.044053500,0.000,0
cand,1,2,0,0,200,15.021053500,0.000,0
cand,1,2,1,1,200,14.916995000,10.000,0
cand,1,2,2,1,200,14.896522000,10.000,0
cand,1,2,3,0,200,15.062637500,0.000,0
cand,1,3,0,0,200,15.083266500,0.000,0
cand,1,3,1,1,200,15.054779500,10.000,0
cand,1,3,2,1,200,15.065714500,10.000,0
cand,1,3,3,0,200,15.100369000,0.000,0
cand,2,1,0,0,200,15.067297500,0.000,0
cand,2,1,1,1,200,14.926100000,10.000,0
cand,2,1,2,1,200,14.928203000,10.000,0
cand,2,1,3,0,200,15.052040000,0.000,0
cand,2,2,0,0,200,15.052903500,0.000,0
cand,2,2,1,1,200,14.904256500,10.000,0
cand,2,2,2,1,200,14.901796500,10.000,0
cand,2,2,3,0,200,15.044134500,0.000,0
cand,2,3,0,0,200,15.063766000,0.000,0
cand,2,3,1,1,200,15.041328500,10.000,0
cand,2,3,2,1,200,15.032177500,10.000,0
cand,2,3,3,0,200,15.070536000,0.000,0
