phase,slot,mode,frames,ms
0,0,0,80,10.586540000
0,1,1,80,10.618041250
0,2,1,80,10.617796250
0,3,0,80,10.620881250
1,0,0,80,10.635040000
1,1,2,80,10.639821250
1,2,2,80,10.668627500
1,3,0,80,10.653336250
2,0,0,80,10.666367500
2,1,3,80,10.684217500
2,2,3,80,10.679772500
2,3,0,80,10.690370000
3,0,0,80,10.650241250
3,1,4,80,10.698710000
3,2,4,80,10.677761250
3,3,0,80,10.687853750
4,0,0,80,10.687881250
4,1,5,80,10.764580000
4,2,5,80,10.825360000
4,3,0,80,10.697982500
5,0,0,80,10.682905000
5,1,6,80,10.790457500
5,2,6,80,10.794527500
5,3,0,80,10.711590000
6,0,0,80,10.699327500
6,1,7,80,10.700415000
6,2,7,80,10.723431250
6,3,0,80,10.722368750
7,0,0,80,10.709342500
7,1,8,80,10.698601250
7,2,8,80,10.709848750
7,3,0,80,10.713693750
8,0,0,80,10.696067500
8,1,9,80,10.729077500
8,2,9,80,10.712520000
8,3,0,80,10.692355000
9,0,0,80,10.718961250
9,1,10,80,10.728496250
9,2,10,80,10.745883750
9,3,0,80,10.738641250
10,0,0,80,10.704201250
10,1,11,80,10.749816250
10,2,11,80,10.750782500
10,3,0,80,10.725603750
