repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,1,0,0,200,15.335637500,2600,0
0,1,1,1,200,15.785681500,2600,2600
0,1,2,1,200,15.768267000,2600,2600
0,1,3,0,200,15.372087500,2600,0
0,2,0,0,200,15.382257500,2600,0
0,2,1,2,200,15.682273500,2600,2600
0,2,2,2,200,15.694800000,2600,2600
0,2,3,0,200,15.418997500,2600,0
0,3,0,0,200,15.399720000,2600,0
0,3,1,3,200,15.625523500,2600,2600
0,3,2,3,200,15.605425000,2600,2600
0,3,3,0,200,15.371306500,2600,0
0,4,0,0,200,15.361353000,2600,0
0,4,1,4,200,15.886172000,2600,2600
0,4,2,4,200,15.870967000,2600,2600
0,4,3,0,200,15.366771000,2600,0
1,1,0,0,200,15.379213000,2600,0
1,1,1,1,200,15.791296000,2600,2600
1,1,2,1,200,15.796038000,2600,2600
1,1,3,0,200,15.390209500,2600,0
1,2,0,0,200,15.389958500,2600,0
1,2,1,2,200,15.685493000,2600,2600
1,2,2,2,200,15.687033000,2600,2600
1,2,3,0,200,15.402677500,2600,0
1,3,0,0,200,15.399696000,2600,0
1,3,1,3,200,15.662089500,2600,2600
1,3,2,3,200,15.646279000,2600,2600
1,3,3,0,200,15.425904500,2600,0
1,4,0,0,200,15.424000000,2600,0
1,4,1,4,200,15.924285500,2600,2600
1,4,2,4,200,15.896142000,2600,2600
1,4,3,0,200,15.408749500,2600,0
