repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,5,0,0,200,15.345096000,2600,0
0,5,1,5,200,15.320185000,2600,2600
0,5,2,5,200,15.349757000,2600,2600
0,5,3,0,200,15.386464500,2600,0
0,6,0,0,200,15.375117500,2600,0
0,6,1,6,200,15.303110000,2600,2600
0,6,2,6,200,15.289583500,2600,2600
0,6,3,0,200,15.400333500,2600,0
1,5,0,0,200,15.402671000,2600,0
1,5,1,5,200,15.383827500,2600,2600
1,5,2,5,200,15.370693500,2600,2600
1,5,3,0,200,15.421683000,2600,0
1,6,0,0,200,15.417407500,2600,0
1,6,1,6,200,15.309875500,2600,2600
1,6,2,6,200,15.315210500,2600,2600
1,6,3,0,200,15.406887000,2600,0
2,5,0,0,200,15.407306500,2600,0
2,5,1,5,200,15.376360500,2600,2600
2,5,2,5,200,15.352170000,2600,2600
2,5,3,0,200,15.396383500,2600,0
2,6,0,0,200,15.418004000,2600,0
2,6,1,6,200,15.291525500,2600,2600
2,6,2,6,200,15.297733000,2600,2600
2,6,3,0,200,15.397904500,2600,0
