repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,6,0,0,200,15.403355000,2600,0
0,6,1,6,200,15.309404500,2600,2600
0,6,2,6,200,15.305330500,2600,2600
0,6,3,0,200,15.415832000,2600,0
0,7,0,0,200,15.453978500,2600,0
0,7,1,7,200,15.398263500,2600,2600
0,7,2,7,200,15.383087000,2600,2600
0,7,3,0,200,15.424587500,2600,0
0,8,0,0,200,15.414401000,2600,0
0,8,1,8,200,15.427454000,2600,2600
0,8,2,8,200,15.467449500,2600,2600
0,8,3,0,200,15.426339000,2600,0
1,6,0,0,200,15.461518500,2600,0
1,6,1,6,200,15.348507000,2600,2600
1,6,2,6,200,15.348036000,2600,2600
1,6,3,0,200,15.451551000,2600,0
1,7,0,0,200,15.463339000,2600,0
1,7,1,7,200,15.449711500,2600,2600
1,7,2,7,200,15.436266000,2600,2600
1,7,3,0,200,15.432303000,2600,0
1,8,0,0,200,15.456722000,2600,0
1,8,1,8,200,15.490802500,2600,2600
1,8,2,8,200,15.508975000,2600,2600
1,8,3,0,200,15.497895500,2600,0
2,6,0,0,200,15.468724500,2600,0
2,6,1,6,200,15.360146500,2600,2600
2,6,2,6,200,15.373569000,2600,2600
2,6,3,0,200,15.468071000,2600,0
2,7,0,0,200,15.477809500,2600,0
2,7,1,7,200,15.464501500,2600,2600
2,7,2,7,200,15.465246000,2600,2600
2,7,3,0,200,15.481240000,2600,0
2,8,0,0,200,15.483180500,2600,0
2,8,1,8,200,15.527883500,2600,2600
2,8,2,8,200,15.508509000,2600,2600
2,8,3,0,200,15.448942500,2600,0
