repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,6,0,0,200,10.744315000,2600,0
0,6,1,6,200,10.691466500,2600,2600
0,6,2,6,200,10.706817000,2600,2600
0,6,3,0,200,10.824463500,2600,0
0,10,0,0,200,10.804918000,2600,0
0,10,1,10,200,10.753203500,2600,2600
0,10,2,10,200,10.760119500,2600,2600
0,10,3,0,200,10.802589500,2600,0
0,12,0,0,200,10.816872500,2600,0
0,12,1,12,200,10.711231000,2600,2600
0,12,2,12,200,10.703867000,2600,2600
0,12,3,0,200,10.837014000,2600,0
1,6,0,0,200,10.842698500,2600,0
1,6,1,6,200,10.757492500,2600,2600
1,6,2,6,200,10.758182500,2600,2600
1,6,3,0,200,10.856604500,2600,0
1,10,0,0,200,10.854259000,2600,0
1,10,1,10,200,10.822625000,2600,2600
1,10,2,10,200,10.826662500,2600,2600
1,10,3,0,200,10.876357000,2600,0
1,12,0,0,200,10.877295000,2600,0
1,12,1,12,200,10.753050000,2600,2600
1,12,2,12,200,10.756505500,2600,2600
1,12,3,0,200,10.860600000,2600,0
2,6,0,0,200,10.862153500,2600,0
2,6,1,6,200,10.773235500,2600,2600
2,6,2,6,200,10.783680500,2600,2600
2,6,3,0,200,10.885518000,2600,0
2,10,0,0,200,10.876821500,2600,0
2,10,1,10,200,10.837997000,2600,2600
2,10,2,10,200,10.830368000,2600,2600
2,10,3,0,200,10.880126000,2600,0
2,12,0,0,200,10.891984500,2600,0
2,12,1,12,200,10.765133500,2600,2600
2,12,2,12,200,10.767943500,2600,2600
2,12,3,0,200,10.903017500,2600,0
