repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,6,0,0,200,10.738708500,2600,0
0,6,1,6,200,10.676588500,2600,2600
0,6,2,6,200,10.672779000,2600,2600
0,6,3,0,200,10.767250500,2600,0
0,9,0,0,200,10.787382000,2600,0
0,9,1,9,200,10.818372000,2600,2600
0,9,2,9,200,10.815093000,2600,2600
0,9,3,0,200,10.833593500,2600,0
0,10,0,0,200,10.850012500,2600,0
0,10,1,10,200,10.806381000,2600,2600
0,10,2,10,200,10.791107000,2600,2600
0,10,3,0,200,10.833899500,2600,0
0,11,0,0,200,10.819137500,2600,0
0,11,1,11,200,10.704873500,2600,2600
0,11,2,11,200,10.749588000,2600,2600
0,11,3,0,200,10.840930000,2600,0
1,6,0,0,200,10.880089500,2600,0
1,6,1,6,200,10.762275500,2600,2600
1,6,2,6,200,10.796994500,2600,2600
1,6,3,0,200,10.863479500,2600,0
1,9,0,0,200,10.842719500,2600,0
1,9,1,9,200,10.883244000,2600,2600
1,9,2,9,200,10.910481500,2600,2600
1,9,3,0,200,10.876278500,2600,0
1,10,0,0,200,10.904814000,2600,0
1,10,1,10,200,10.847977500,2600,2600
1,10,2,10,200,10.851648000,2600,2600
1,10,3,0,200,10.863062500,2600,0
1,11,0,0,200,10.861108000,2600,0
1,11,1,11,200,10.795683500,2600,2600
1,11,2,11,200,10.813073500,2600,2600
1,11,3,0,200,10.871061000,2600,0
2,6,0,0,200,10.856489000,2600,0
2,6,1,6,200,10.815276000,2600,2600
2,6,2,6,200,10.808358500,2600,2600
2,6,3,0,200,10.890881500,2600,0
2,9,0,0,200,10.883362000,2600,0
2,9,1,9,200,10.874058000,2600,2600
2,9,2,9,200,10.879204000,2600,2600
2,9,3,0,200,10.872394000,2600,0
2,10,0,0,200,10.859746000,2600,0
2,10,1,10,200,10.838686000,2600,2600
2,10,2,10,200,10.838084000,2600,2600
2,10,3,0,200,10.861922000,2600,0
2,11,0,0,200,10.861072000,2600,0
2,11,1,11,200,10.758579000,2600,2600
2,11,2,11,200,10.755221000,2600,2600
2,11,3,0,200,10.885708000,2600,0
