repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,3,0,0,200,10.711582500,2600,0
0,3,1,3,200,10.917818000,2600,2600
0,3,2,3,200,10.903768500,2600,2600
0,3,3,0,200,10.763861500,2600,0
0,4,0,0,200,10.775438500,2600,0
0,4,1,4,200,11.009583000,2600,2600
0,4,2,4,200,11.012352000,2600,2600
0,4,3,0,200,10.797417500,2600,0
1,3,0,0,200,10.794309000,2600,0
1,3,1,3,200,10.958028000,2600,2600
1,3,2,3,200,10.970776000,2600,2600
1,3,3,0,200,10.820289000,2600,0
1,4,0,0,200,10.829826000,2600,0
1,4,1,4,200,11.054551500,2600,2600
1,4,2,4,200,11.053889500,2600,2600
1,4,3,0,200,10.845027500,2600,0
