repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,1,0,0,80,11.525725000,2880,0
0,1,1,1,80,11.484137500,2880,640
0,1,2,1,80,11.460325000,2880,640
0,1,3,0,80,11.601412500,2880,0
0,2,0,0,80,11.631012500,2880,0
0,2,1,2,80,11.553987500,2880,960
0,2,2,2,80,11.568350000,2880,960
0,2,3,0,80,11.666112500,2880,0
0,3,0,0,80,11.645712500,2880,0
0,3,1,3,80,11.880100000,2880,1280
0,3,2,3,80,11.896462500,2880,1280
0,3,3,0,80,11.638850000,2880,0
0,4,0,0,80,11.650812500,2880,0
0,4,1,4,80,11.763875000,2880,2880
0,4,2,4,80,11.713425000,2880,2880
0,4,3,0,80,11.689837500,2880,0
