repeat,candidate,slot,mode,frames,ms,target_calls,replaced
0,1,0,0,80,11.544875000,2880,0
0,1,1,1,80,11.461675000,2880,640
0,1,2,1,80,11.471462500,2880,640
0,1,3,0,80,11.632087500,2880,0
0,2,0,0,80,11.700112500,2880,0
0,2,1,2,80,11.523400000,2880,960
0,2,2,2,80,11.551137500,2880,960
0,2,3,0,80,11.672150000,2880,0
0,3,0,0,80,11.652012500,2880,0
0,3,1,3,80,12.133937500,2880,1280
0,3,2,3,80,12.144800000,2880,1280
0,3,3,0,80,11.716600000,2880,0
0,4,0,0,80,11.708050000,2880,0
0,4,1,4,80,11.850387500,2880,2880
0,4,2,4,80,11.879662500,2880,2880
0,4,3,0,80,11.676750000,2880,0
