frame,end_tick_ms,wall_ms
0,171424593,1438.243000000
1,171424687,14.899000000
2,171424703,14.680000000
3,171424718,13.514000000
4,171424734,13.281000000
5,171424750,13.202000000
6,171424765,13.275000000
7,171424781,13.310000000
8,171424796,13.385000000
9,171424796,13.248000000
10,171424812,13.306000000
11,171424828,13.366000000
12,171424843,13.341000000
13,171424859,13.408000000
14,171424875,13.351000000
15,171424890,13.172000000
16,171424906,12.780000000
17,171424921,12.895000000
18,171424937,12.928000000
19,171424937,13.020000000
20,171424953,12.979000000
21,171424968,12.860000000
22,171424984,12.690000000
23,171425000,13.132000000
24,171425015,12.761000000
25,171425031,12.949000000
26,171425046,13.123000000
27,171425046,13.158000000
28,171425062,12.897000000
29,171425078,12.949000000
30,171425093,12.942000000
31,171425109,13.052000000
32,171425125,13.065000000
33,171425140,13.037000000
34,171425156,13.143000000
35,171425171,13.099000000
36,171425171,13.224000000
37,171425187,13.101000000
38,171425203,13.176000000
39,171425218,13.093000000
40,171425234,13.224000000
41,171425250,13.132000000
42,171425265,13.345000000
43,171425265,13.243000000
44,171425281,13.268000000
45,171425296,13.050000000
46,171425312,13.204000000
47,171425328,13.276000000
48,171425343,13.067000000
49,171425359,13.331000000
50,171425375,13.264000000
51,171425375,13.210000000
52,171425390,13.165000000
53,171425406,13.258000000
54,171425421,13.103000000
55,171425437,13.293000000
56,171425453,13.333000000
57,171425468,13.130000000
58,171425484,13.154000000
59,171425484,13.215000000
60,171425500,13.132000000
61,171425515,12.950000000
62,171425531,12.990000000
63,171425546,13.328000000
64,171425562,13.342000000
65,171425578,13.193000000
66,171425593,13.258000000
67,171425593,13.243000000
68,171425609,13.239000000
69,171425625,13.162000000
70,171425640,13.155000000
71,171425656,13.099000000
72,171425671,13.430000000
73,171425687,13.230000000
74,171425687,13.078000000
75,171425703,13.380000000
76,171425718,13.214000000
77,171425734,13.241000000
78,171425750,13.035000000
79,171425765,13.266000000
80,171425781,13.425000000
81,171425796,13.243000000
82,171425796,13.059000000
83,171425812,13.268000000
84,171425828,13.255000000
85,171425843,13.227000000
86,171425859,13.235000000
87,171425875,13.136000000
88,171425890,13.262000000
89,171425906,13.155000000
90,171425906,13.180000000
91,171425921,13.276000000
92,171425937,13.249000000
93,171425953,13.042000000
94,171425968,13.219000000
95,171425984,13.212000000
96,171426000,13.271000000
97,171426015,13.212000000
98,171426015,13.088000000
99,171426031,13.181000000
100,171426046,13.232000000
101,171426062,13.275000000
102,171426078,13.151000000
103,171426093,13.259000000
104,171426109,13.336000000
105,171426125,13.189000000
106,171426125,13.246000000
107,171426140,13.090000000
108,171426156,13.293000000
109,171426171,13.189000000
110,171426187,13.138000000
111,171426203,13.217000000
112,171426218,13.092000000
113,171426218,13.111000000
114,171426234,13.175000000
115,171426250,13.222000000
116,171426265,13.218000000
117,171426281,13.054000000
118,171426296,13.210000000
119,171426312,13.210000000
120,171426328,13.048000000
121,171426328,13.225000000
122,171426343,13.103000000
123,171426359,13.112000000
124,171426375,13.329000000
125,171426390,13.199000000
126,171426406,13.196000000
127,171426421,13.039000000
128,171426437,13.128000000
129,171426437,13.028000000
130,171426453,13.131000000
131,171426468,13.254000000
132,171426484,13.195000000
133,171426500,13.043000000
134,171426515,13.020000000
135,171426531,13.316000000
136,171426531,13.083000000
137,171426546,13.135000000
138,171426562,13.128000000
139,171426578,13.098000000
140,171426593,13.144000000
141,171426609,13.233000000
142,171426625,13.178000000
143,171426625,13.110000000
144,171426640,13.171000000
145,171426656,13.182000000
146,171426671,13.159000000
147,171426687,13.192000000
148,171426703,13.195000000
149,171426718,13.375000000
150,171426734,13.197000000
151,171426734,13.127000000
152,171426750,13.346000000
153,171426765,13.093000000
154,171426781,13.220000000
155,171426796,13.121000000
156,171426812,13.119000000
157,171426828,13.094000000
158,171426843,13.324000000
159,171426843,13.243000000
160,171426859,13.179000000
161,171426875,13.180000000
162,171426890,13.418000000
163,171426906,13.096000000
164,171426921,13.085000000
165,171426937,13.357000000
166,171426953,13.245000000
167,171426953,13.113000000
168,171426968,13.198000000
169,171426984,13.238000000
170,171427000,13.204000000
171,171427015,13.168000000
172,171427031,13.309000000
173,171427046,13.331000000
174,171427062,13.102000000
175,171427062,13.130000000
176,171427078,13.333000000
177,171427093,13.151000000
178,171427109,13.028000000
179,171427125,13.236000000
180,171427140,13.309000000
181,171427156,13.288000000
182,171427156,13.153000000
183,171427171,13.320000000
184,171427187,13.222000000
185,171427203,13.304000000
186,171427218,13.382000000
187,171427234,13.272000000
188,171427250,13.277000000
189,171427265,13.148000000
190,171427265,13.346000000
191,171427281,13.415000000
192,171427296,13.229000000
193,171427312,13.177000000
194,171427328,13.132000000
195,171427343,13.189000000
196,171427359,13.205000000
197,171427375,13.203000000
198,171427375,13.160000000
199,171427390,13.345000000
200,171427406,13.214000000
201,171427421,13.042000000
202,171427437,13.159000000
203,171427453,13.410000000
204,171427468,13.226000000
205,171427484,13.225000000
206,171427484,13.220000000
207,171427500,13.220000000
208,171427515,13.159000000
209,171427531,13.204000000
210,171427546,13.266000000
211,171427562,13.231000000
212,171427578,13.113000000
213,171427593,13.220000000
214,171427593,13.254000000
215,171427609,13.192000000
216,171427625,13.270000000
217,171427640,13.195000000
218,171427656,13.561000000
219,171427671,13.184000000
220,171427687,13.218000000
221,171427703,13.166000000
222,171427703,13.207000000
223,171427718,13.163000000
224,171427734,13.150000000
225,171427750,13.203000000
226,171427765,12.995000000
227,171427781,13.235000000
228,171427796,13.138000000
229,171427812,13.372000000
230,171427812,13.238000000
231,171427828,13.133000000
232,171427843,13.026000000
233,171427859,13.283000000
234,171427875,13.377000000
235,171427890,13.245000000
236,171427906,13.110000000
237,171427921,13.300000000
238,171427921,13.252000000
239,171427937,13.151000000
240,171427953,13.237000000
241,171427968,13.413000000
242,171427984,13.163000000
243,171428000,13.332000000
244,171428015,13.472000000
245,171428031,13.248000000
246,171428031,13.130000000
247,171428046,13.121000000
248,171428062,13.196000000
249,171428078,13.235000000
250,171428093,13.346000000
251,171428109,13.423000000
252,171428125,13.032000000
253,171428125,13.077000000
254,171428140,13.172000000
255,171428156,13.347000000
256,171428171,13.155000000
257,171428187,13.179000000
258,171428203,13.314000000
259,171428218,13.228000000
260,171428234,13.250000000
261,171428234,13.210000000
262,171428250,13.148000000
263,171428265,13.333000000
264,171428281,13.233000000
265,171428296,13.239000000
266,171428312,13.192000000
267,171428328,13.152000000
268,171428343,13.104000000
269,171428343,13.270000000
270,171428359,13.037000000
271,171428375,13.167000000
