kernel,code_bytes,max_threads,wave_size,lds_bytes,vgpr,private_bytes,vgpr_spills,static_barriers,static_wmma,unknown
_Z10k_conv_res10ConvParams,3500,256,32,8192,51,0,0,1,2,0
_Z10k_flag_setPjjS_,232,1024,32,0,4,0,0,0,0,0
_Z10k_qkv_attn10AttnParams,9556,256,32,58368,111,0,0,6,8,0
_Z10k_reg_copy9VarParams,1036,32,32,0,20,0,0,0,0,0
_Z10k_swin_varILi128ELb0EEv9VarParams,25700,256,32,15616,120,56,8,20,34,0
_Z10k_swin_varILi256ELb0EEv9VarParams,21956,256,32,19200,164,24,0,17,32,0
_Z10k_swin_varILi32ELb1EEv9VarParams,28424,256,32,15616,61,24,0,23,29,0
_Z10k_swin_varILi64ELb0EEv9VarParams,22828,256,32,15616,120,52,7,17,38,0
_Z11k_attention12AttnParams1d,6660,256,32,28928,137,0,0,4,6,0
_Z11k_contract212ConvParams1d,19412,256,32,16384,161,0,0,1,4,0
_Z11k_conv_res211Conv2Params,23208,256,32,0,202,0,0,0,8,0
_Z11k_flag_waitPjjj,180,1024,32,0,4,0,0,0,0,0
_Z11k_qkv_attn210AttnParams,8564,256,32,23808,99,24,0,5,14,0
_Z11k_reg1d_qkv14Reg1dQkvParams,12504,256,32,4096,168,12,2,4,32,0
_Z11k_reproject12ReprojParams,15492,1024,32,0,66,0,0,0,0,0
_Z12k_attention212AttnParams1d,7360,256,32,19456,90,0,0,5,6,0
_Z12k_final_head10HeadParams,2908,256,32,8192,41,0,0,1,2,0
_Z12k_reg1d_attnILi1EEv15Reg1dAttnParams,5724,128,32,0,141,0,0,0,16,0
_Z12k_reg1d_convILi1ELb0EEv12ConvParams1d,4860,256,32,4096,130,0,0,2,8,0
_Z12k_reg1d_convILi1ELb1EEv12ConvParams1d,3376,256,32,4096,111,0,0,2,8,0
_Z12k_reg1d_convILi2ELb0EEv12ConvParams1d,8544,256,32,4096,168,36,8,2,16,0
_Z12k_reg_swin32ILi0EEv9VarParams,29168,32,32,2048,168,56,13,0,112,0
_Z12k_reg_swin32ILi1EEv9VarParams,29692,32,32,2048,168,52,12,0,112,0
_Z12k_reg_swin32ILi20EEv9VarParams,41060,32,32,2048,160,464,0,0,114,0
_Z12k_reg_swin32ILi2EEv9VarParams,29608,32,32,2048,168,20,4,0,112,0
_Z12k_reg_swin32ILi32EEv9VarParams,45560,32,32,2048,168,424,105,0,120,0
_Z12k_reg_swin32ILi4EEv9VarParams,39240,32,32,2048,168,320,13,0,120,0
_Z12k_reg_swin32ILi5EEv9VarParams,37980,32,32,2048,168,336,17,0,120,0
_Z12k_reg_swin32ILi8EEv9VarParams,33640,32,32,2048,164,0,0,0,120,0
_Z13k_align_probePh,56,1024,32,0,3,0,0,0,0,0
_Z13k_clock_probePy,168,1024,32,0,5,0,0,0,0,0
