test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.109181250,0,0,218,323844515,323846453
1,1,1,160,12.118250000,0,34880,218,323846828,323848765
1,2,1,160,12.147856250,0,34880,218,323849125,323851078
1,3,0,160,12.107162500,0,0,218,323851437,323853375
1,4,0,160,12.127656250,0,0,218,323853750,323855687
1,5,1,160,12.159581250,0,34880,218,323856062,323858000
1,6,1,160,12.166087500,0,34880,218,323858375,323860328
1,7,0,160,12.153768750,0,0,218,323860687,323862640
2,0,0,160,12.136787500,0,0,218,323863000,323864953
2,1,2,160,12.150112500,0,34880,218,323865312,323867265
2,2,2,160,12.171056250,0,34880,218,323867625,323869578
2,3,0,160,12.145731250,0,0,218,323869953,323871890
2,4,0,160,12.139218750,0,0,218,323872265,323874203
2,5,2,160,12.154250000,0,34880,218,323874562,323876515
2,6,2,160,12.187850000,0,34880,218,323876890,323878828
2,7,0,160,12.187037500,0,0,218,323879203,323881156
3,0,0,160,12.152293750,0,0,218,323881531,323883468
3,1,3,160,12.184831250,0,34880,218,323883843,323885796
3,2,3,160,12.179712500,0,34880,218,323886156,323888109
3,3,0,160,12.191181250,0,0,218,323888484,323890437
3,4,0,160,12.157100000,0,0,218,323890796,323892750
3,5,3,160,12.205262500,0,34880,218,323893125,323895078
3,6,3,160,12.179281250,0,34880,218,323895437,323897390
3,7,0,160,12.141656250,0,0,218,323897765,323899703
