stage,end_cursor
pre-down,1
block0,1
block4,5
block4-down,5
block5,7
block6,8
block7,9
block8,10
block9,12
block10,13
block11,14
block12,15
block13,16
block14,17
block15,20
block16,22
block17,24
block18,26
block19,28
block20,30
block21,32
block22,34
block23,42
block24,49
block25,56
block26,63
block27,70
block28,77
block29,84
block30,91
head,93
block31,100
block32,106
block33,112
block34,118
block35,124
block36,130
block37,136
block38,142
block39,144
block40,151
block41,158
block42,158
block43,158
block44,165
block45,172
block46,172
block47,179
block48,182
block49,184
block50,186
block51,188
block52,190
block53,192
block54,194
block55,196
block56,198
block57,199
block58,200
block59,201
block60,202
block61,203
block62,205
block63,206
block64,207
block65,208
block69,213
block70,214
