index,stage,kernel
0,pre-down,c32_wave1:c32_wave1_prefix
1,block4,c32_wave1:c32_wave1_mapped
2,block4,c32_wave1:c32_wave1_chain
3,block4,c32_wave1:c32_wave1_chain
4,block4,c32_wave1:c32_wave1_finish_dcrop
5,block5,mh_fast:mh_pool_project_production_h16w
6,block5,c64_wave2:c64_wave2_bo
7,block6,c64_wave2:c64_wave2_bi_bo
8,block7,c64_wave2:c64_wave2_bi_bo
9,block8,c64_wave2:c64_wave2_bi
10,block9,mh_fast:mh_pool_project_group_c64
11,block9,c64_wave2:c128_wave2_bo
12,block10,c64_wave2:c128_wave2_bi_bo
13,block11,c64_wave2:c128_wave2_bi_bo
14,block12,c64_wave2:c128_wave2_bi_bo
15,block13,c64_wave2:c128_wave2_bi_bo
16,block14,c64_wave2:c128_wave2_bi
17,block15,mh_fast:mh_pool_project_group_c128
18,block15,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_fb_pdl
19,block15,c64_wave2:c256_attn_wave_bo
20,block16,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
21,block16,c64_wave2:c256_attn_wave_bo
22,block17,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
23,block17,c64_wave2:c256_attn_wave_bo
24,block18,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
25,block18,c64_wave2:c256_attn_wave_bo
26,block19,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
27,block19,c64_wave2:c256_attn_wave_bo
28,block20,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
29,block20,c64_wave2:c256_attn_wave_bo
30,block21,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
31,block21,c64_wave2:c256_attn_wave_bo
32,block22,mh_fast:mh_ffn_fused_c256_frag_project_mapped_g128_qkv_bytein_fb_pdl
33,block22,c64_wave2:c256_attn_wave
34,block23,mh_fast:mh_pool_project_group_c256
35,block23,mh:mh_shift_pack
36,block23,deep_fast:split_mix_blocked_h16w
37,block23,deep_fast:split_ffn_fused_fp8_t8
38,block23,deep_fast:split_projection_frag
39,block23,mh_fast:mh_qkv_normalize_frag_c512
40,block23,mh_fused:mh_attention_fused_fp8_out
41,block23,mh_fast:mh_attention_project_frag_c512
42,block24,mh:mh_shift_pack
43,block24,deep_fast:split_mix_blocked_h16w
44,block24,deep_fast:split_ffn_fused_fp8_t8
45,block24,deep_fast:split_projection_frag
46,block24,mh_fast:mh_qkv_normalize_frag_c512
47,block24,mh_fused:mh_attention_fused_fp8_out
48,block24,mh_fast:mh_attention_project_frag_c512
49,block25,mh:mh_shift_pack
50,block25,deep_fast:split_mix_blocked_h16w
51,block25,deep_fast:split_ffn_fused_fp8_t8
52,block25,deep_fast:split_projection_frag
53,block25,mh_fast:mh_qkv_normalize_frag_c512
54,block25,mh_fused:mh_attention_fused_fp8_out
55,block25,mh_fast:mh_attention_project_frag_c512
56,block26,mh:mh_shift_pack
57,block26,deep_fast:split_mix_blocked_h16w
58,block26,deep_fast:split_ffn_fused_fp8_t8
59,block26,deep_fast:split_projection_frag
60,block26,mh_fast:mh_qkv_normalize_frag_c512
61,block26,mh_fused:mh_attention_fused_fp8_out
62,block26,mh_fast:mh_attention_project_frag_c512
63,block27,mh:mh_shift_pack
64,block27,deep_fast:split_mix_blocked_h16w
65,block27,deep_fast:split_ffn_fused_fp8_t8
66,block27,deep_fast:split_projection_frag
67,block27,mh_fast:mh_qkv_normalize_frag_c512
68,block27,mh_fused:mh_attention_fused_fp8_out
69,block27,mh_fast:mh_attention_project_frag_c512
70,block28,mh:mh_shift_pack
71,block28,deep_fast:split_mix_blocked_h16w
72,block28,deep_fast:split_ffn_fused_fp8_t8
