test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,12.485243750,0,0,218,295045859,295047859
1,1,1,160,12.505181250,0,34880,218,295048234,295050234
1,2,1,160,12.507600000,0,34880,218,295050625,295052625
1,3,0,160,12.467831250,0,0,218,295053000,295055000
1,4,0,160,12.507450000,0,0,218,295055375,295057375
1,5,1,160,12.514156250,0,34880,218,295057750,295059765
1,6,1,160,12.533531250,0,34880,218,295060140,295062140
1,7,0,160,12.492718750,0,0,218,295062531,295064531
2,0,0,160,12.523968750,0,0,218,295064906,295066906
2,1,2,160,12.545681250,0,34880,218,295067296,295069296
2,2,2,160,12.606293750,0,34880,218,295069687,295071703
2,3,0,160,12.518518750,0,0,218,295072078,295074078
2,4,0,160,12.514518750,0,0,218,295074468,295076468
2,5,2,160,12.569325000,0,34880,218,295076843,295078859
2,6,2,160,12.574593750,0,34880,218,295079250,295081250
2,7,0,160,12.537368750,0,0,218,295081640,295083640
3,0,0,160,12.538918750,0,0,218,295084031,295086031
3,1,3,160,12.558650000,0,34880,218,295086406,295088421
3,2,3,160,12.536606250,0,34880,218,295088796,295090812
3,3,0,160,12.514687500,0,0,218,295091187,295093187
3,4,0,160,12.512731250,0,0,218,295093578,295095578
3,5,3,160,12.525487500,0,34880,218,295095953,295097953
3,6,3,160,12.548825000,0,34880,218,295098343,295100343
3,7,0,160,12.570793750,0,0,218,295100734,295102750
