test,slot,mode,frames,wall_ms,bitdiff,calls,perframe,start_ms,end_ms
1,0,0,160,17.891112500,0,0,218,288206625,288209484
1,1,1,160,17.666306250,0,34880,218,288210015,288212843
1,2,1,160,17.709143750,0,34880,218,288213390,288216218
1,3,0,160,17.880975000,0,0,218,288216750,288219609
1,4,0,160,17.989812500,0,0,218,288220156,288223031
1,5,1,160,17.742781250,0,34880,218,288223578,288226421
1,6,1,160,17.753550000,0,34880,218,288226953,288229796
1,7,0,160,18.011631250,0,0,218,288230343,288233218
2,0,0,160,17.996512500,0,0,218,288233765,288236640
2,1,2,160,18.153718750,0,34880,218,288237187,288240093
2,2,2,160,18.185750000,0,34880,218,288240640,288243562
2,3,0,160,18.064700000,0,0,218,288244093,288246984
2,4,0,160,18.077487500,0,0,218,288247531,288250421
2,5,2,160,18.205456250,0,34880,218,288250984,288253890
2,6,2,160,18.201812500,0,34880,218,288254453,288257359
2,7,0,160,18.097962500,0,0,218,288257906,288260796
3,0,0,160,18.097806250,0,0,218,288261343,288264234
3,1,3,160,17.684881250,0,34880,218,288264781,288267609
3,2,3,160,17.705500000,0,34880,218,288268140,288270984
3,3,0,160,18.086518750,0,0,218,288271515,288274421
3,4,0,160,18.117350000,0,0,218,288274953,288277859
3,5,3,160,17.727687500,0,34880,218,288278406,288281234
3,6,3,160,17.701412500,0,34880,218,288281781,288284609
3,7,0,160,18.150318750,0,0,218,288285156,288288062
